Account
@josh@sciences.social (Josh Braun, University of Massachusetts Amherst)
@bethanyklein@assemblag.es (Bethany Klein)
@justinhendrix@mastodon.social (Justin Hendrix)
@primosoy@home.social (Juan Primosich)
@sjones@mastodon.social (Steve Jones)
@nathalie@mastodontech.de (Nathalie Schäfer)
@johnbesley@qoto.org (John Besley)
@mcforelle@sciences.social (MC Forelle)
@librarian_chef@zirk.us (Robert Spinelli)
@zittrain@mastodon.social (Jonathan Zittrain)
@yazanbadran@sciences.social (Yazan Badran)
@melisbehlil@mstdn.social (Melis Behlil)
@ch_butkowski@mastodon.lol (Chelsea Butkowski)
@lisamerten@mas.to (Lisa Merten)
@PaulLev@mastodon.social (Paul Levinson)
@ikepicone@sciences.social (Ike Picone)
@museumofportablesound@hcommons.social (John Kannenberg)
@jjsylvia@mastodon.social (J.J. Sylvia IV)
@genelle@newsie.social (Genelle Belmas)
@bjpeters@mastodon.social (Benjamin Peters)
@juanmanfredi@mastodon.social (Juan Luis Manfredi)
@iaridlo@fediscience.org (Ilham Akhsanu Ridlo)
@jes30@newsie.social (James Shanahan)
@Sarahsoutlook@mastodon.social (Sarah Anne Ganter)
@cordltx@mastodon.ie (Antonia Hernández)
@bernadette.uth@mastodon.social (Bernadette Uth)
@libbyh@mastodon.social (Libby Hemphill)
@sophiebishop@hci.social (Sophie Bishop) 
@alexmonea@mastodon.social (Alexander Monea)
@aronczyk@mstdn.ca (Melissa Aronczyk)
@oddletters@everything.happens.horse (Mols Sauter)
@libraryofbabble@mastodon.social (Ross Weistroffer)
@ljlincoln@mastodon.social (Louisa Lincoln)
@simonlindgren@sciences.social (Simon Lindgren)
@actdv@masthead.social (Aviva Dove-Viebahn)
@fatimagaw@masto.ai (Fatima Gaw)
@mattcikovic@home.social (Matt Cikovic)
@rodzam@hci.social (Rodrigo Zamith)
@renbarauacademic@mastodon.au (Renee Barnes)
@ktdayg@mas.to (Katie Day Good)
@ethanplaut@tech.lgbt (Ethan Plaut)
@clarajuarezmiro@mastodon.social (Clara Juarez Miro)
@drdjohnston@zirk.us (Derek Johnston)
@flavioazevedo@mastodon.social (Flavio Azevedo)
@stefkax@mastodon.world (Stefka X)
@esraatalay@mastodon.com.tr (Gül Esra Atalay)
@josettewolthuis@akademienl.social (Josette Wolthuis)
@FelixSimon@sciences.social (Felix M. Simon)
@SurreySociology@mastodon.world (Department of Sociology at the University of Surrey)
@amybree@mastodon.social (Amy B. Becker, Loyola University Maryland)
@afbat@scholar.social (Ava Francesca Battocchio)
@kirstenaeddy@mastodon.social (Kirsten Eddy)
@ittefaq@mstdn.social (Muhammad Ittefaq)
@tapoomen@akademienl.social (Tessa Ooomen)
@DrProf@newsie.social (Keren Henderson, Syracuse University)
@JenniferHoewe@mastodon.world (Jennifer Hoewe, Purdue University)
@caminhaslorena@hci.social (Lorena Caminhas)
@jieun_shin@sciences.social (Jieun Shin)
@Elizabetsy@sciences.social (Elizabeth Wissinger)
@rolienhoyng@mastodon.social (Rolien Hoyng)
@luissantos@newsie.social (Luís António Santos)
@summerharlow@mastodon.world (Summer Harlow)
@Rkdasgupta@mstdn.social (Rohit K Dasgupta)
@flavoursofopen@hcommons.social (Toby Steiner)
@petersuber@fediscience.org (Peter Suber)
@tpoell@fediscience.org (Thomas Poell)
@jana_bacevic@mastodon.social (Jana Bacevic)
@jana.bacevic@fediphilosophy.org (Jana Bacevic)
@ViorelaDan@mstdn.social (Viorela Dan, LMU Munich)
@jtpeifer@sciences.social (Jason Peifer, Indiana University-Bloomington)
@A_La_Rasbaille@piaille.fr (Marc Jahjah)
@the_ladylark@mastodon.social (Naomi Jacobs)
@jaimekirtz@mstdn.social (Jaime Kirtz)
@MelissaZimdars@ohai.social (Melissa Zimdars)
@Anu_L_Goswami@mstdn.social (Anumita (Anu Goswami)
@annisch@sciences.social (Anne Schulz)
@kanarinka@mastodon.mit.edu (Catherine D’Ignazio)
@aysed_9@mastodon.social (Ayse D. Lokmanoglu)
@mareikejenner@mastodon.nz (Mareike Jenner)
@narrdev@kolektiva.social (Devesh Narayanan)
@rhonda@techhub.social (Rhonda McEwen)
@rebeccreyn@mstdn.social (Rebecca Reynolds)
@cczymara@sciences.social (Christian Czymara)
@ophiryotam@mastodon.social (Yotam Ophir)
@zachmcdowell@mas.to (Zachary McDowell)
@aboutros@mstdn.social (Alexandra Boutros)
@musamalik@sciences.social (Musa Malik)
@pbjost@mas.to (Pablo Jost)
@katewright@sciences.social (Kate Wright)
@ysabel@mastodon.lol (Ysabel Gerrard)
@balslev@mastodon.social (Jesper Balslev)
@jackjamieson@hci.social (Jack Jamieson)
@ps_c@mastodon.social (Pei-Sze Chow, University of Amsterdam)
@Klerner@newsie.social (Kevin Lerner)
@Jakobschwoerer@det.social (Jakob Schwörer)
@MichaelKlontzas@mastodon.social (Michael Klontzas)
@Mavcall@med-mastodon.com (Melissa Vosen Callens)
@fhenriksen@mastodon.online (Frederik M. Henriksen)
@yaseminbeykont@mastodon.world (Yasemin Beykont)
@richardfletcher@sciences.social (Richard Fletcher)
@emma@assemblag.es (Emma Stamm, Villanova University)
@HarrySurden@mstdn.social (Harry Surden)
@ozanmask@mastodon.social (Ozan Aşık)
@tommytrillo@mastodon.lol (Tommaso Trillò)
@SonjaUtz@fediscience.org (Sonja Utz)
@serenissimaj@sciences.social (Julia Molinari)
@carobirdsall@akademienl.social (Carolyn Birdsall, University of Amsterdam)
@JenMHessler@mstdn.social (Jennifer Hessler)
@roychristopher@nerdculture.de (Roy Christopher)
@fexi@sciences.social (Felix Irmer)
@sakaerka@mastodon.social (Erkan Saka - Istanbul Bilgi Uni) 
@irzakhar@sciences.social (Irina Zakharova)
@msafaksari@mastodon.social (Mehmet Şafak Sarı)
@pauliendecorte@mas.to (Paulien Decorte)
@alessandro_nai@mastodon.world (Alessandro Nai)
@corinamacd@scholar.social (Corina MacDonald)
@mehmetonurcevik@newsie.social (Mehmet Onur Cevik, Ghent University)
@kt_designbox@newsie.social (Xanat Meza)
@jbutler@mstdn.social (Jeremy Butler)
@fe_loe@sciences.social (Felicia Loecherbach)
@Sian_Cowman@mastodon.ie (Sian Cowman)
@lporter@indieweb.social (Lance Porter)
@corneliabrantner@sciences.social (Cornelia Brantner)
@martinriedl@mastodon.social (Martin J. Riedl) 
@sonnevend@mastodon.world (Julia Sonnevend)
@zizip@mastodon.social (Zizi Papacharissi)
@alopfr@newsie.social (Álvaro López Franco)
@jshtern@mstdn.ca (Jeremy Shtern)
@inasander@mstdn.social (Ina Sander)
@steffen@scholar.social (Steffen Burkhardt)
@lisamerten@mas.to (Lisa Merten)
@drdvo@indieweb.socia (Daniel Villar-Onrubial)
@kaipingchen@discuss.systems (Kaiping Chen, University of Wisconsin-Madison)
@mcewan@techhub.social (Bree McEwan) 
@kommueller@sciences.social (Philipp Müller, U Mannheim, Germany)
@anniewald@fediscience.org (Annie Waldherr, University of Vienna)
@couldrynick@indieweb.social (Nick Couldry)
@ukrueg@mastodon.social (Uwe Krüger, Leipzig University)
@joerg_h@mastodon.online (Joerg Hassler, LMU Munich)  
@MMMarkos@mastodon.social (Markos Mpadanes, University of Zurich)
@ghooffacker@sueden.social (Gabriele Hooffacker, Leipzig University of Applied Sciences)
@pxs@assemblag.es (Prem Sylvester, SFU/DDI)
@ekphrasis@social.coop (Magdalena Donea, UCSD)
@liksamchan@mastodon.au (Sam Chan, CUHK)
@thiele@mas.to (Daniel Thiele, University of Vienna)
@maximilian@zirk.us (Maximilian Hepach, University of Potsdam)
@kimandersen@sciences.social (Kim Andersen)
@sgoeths@sciences.social (Steffen Göths, Freie Universität Berlin)
@Nzagalo@hci.social (Nelson Zagalo, University of Aveiro) 
@OttoBrennerStiftung@mastodon.online (OttoBrennerStiftung)
@yueningli@fedihum.org (Yuening Li, Maynooth University, Ireland)
@digitale_kultur@mastodon.social (FSP digitale_kultur)
@bodo@someone.elses.computer (Balazs Bodo, University of Amsterdam)
@SSRC_mtp@sciences.social (SSRC Media, Technology, & Politics)
@laurateruel@sciences.social (Laura Teruel, University of Málaga)
@gruberjona@sciences.social (Jonathan Gruber, University of Zurich)
@vkarnowski@mastodon.social (Veronika Karnowski)
@nvraemdonck@hci.social (Nathalie Van Raemdonck, Vrije Universiteit Brussels) 
@thomkennon@mastodon.social (Thom Kennon, NYU, YU Innovation Lab and Colby College)
@snsoroka@fediscience.org (Stuart Soroka, UCLA)
@cheriangeorge@mas.to (Cherian George, Hong Kong Baptist University)
@toondoctor@hci.social (Hervé Saint-Louis, Université du Québec à Chicoutimi)
@pekasen@mastodon.social (Philipp Kessling, Leibniz-institute for media research, Hamburg)
@lcs@vis.social (Lucía Cores-Sarría, University of Southern Denmark)
@gpmazzoleni@sciences.social (Gianpietro Mazzoleni, University of Milan)
@irinalock@mas.to (Irina Lock, Friedrich Schiller University Jena, Germany)
@TZerback@mas.to (Thomas Zerback, University of Zurich)
@Lenafrescamente@home.social (Lena Frischlich, University of Muenster, Germany)
@LaurenFeldman@mastodon.social (Lauren Feldman, Rutgers University)
@mchaverfieldPhD@toot.community (Marie Haverfield, San José State University)
@AskeKammer@mastodon.online (Aske Kammer, Roskilde University, Denmark)
@dinaschmitt@mastodon.social (Dina Rasolofoarison, Université Paris-Dauphine PSL)
@sy@mastodon.nz (Sy Taffel, Massey University, Aotearoa-New Zealand)
@trinesy@home.social (Trine Syvertsen, University of Oslo)
@docmattweber@mastodon.social (Matthew Weber, Rutgers University)
@AnnenbergPenn@mastodon.social (Annenberg School for Communication, Univ of PA)
@LaurenSmith@mastodon.social (Lauren Smith, Indiana University Media School)
@pjlamberson@sciences.social (PJ Lamberson, UCLA)
@emilstjernholm@hcommons.social (Emil Stjernholm, Lund University) 
@grabjorn@mastodon.social (Pelle Tracey, University of Michigan)
@rettlenn@sciences.social (Lennart Rettler, University of Muenster, Germany)
@Noshir@mastodon.social (Noshir Contractor, Northwestern University / ICA President)
@Noshir@fediscience.org (Noshir Contractor, Northwestern University / ICA President)
@tamar@sciences.social (Tamar Wilner, University of Texas at Austin)
@CorinnaOschatz@sciences.social (Corinna Oschatz, ASCoR, University of Amsterdam
@chindu@mastodon.social (Chindu Sreedharan, Bournemouth University, UK)
@josemoriano@mastodon.social (Jose Moriano, CEU St. Paul)
@krikowi@sciences.social (Network Critical Communication Studies, Germany)
@leni@todon.eu (Marlen van den Ecker, University of Jena, Germany)
@PhilippMSchmid@sciences.social (University of Erfurt, Germany)
@sebastian.koehler@mastodon.social (HMKW Berlin, Germany)
@globalmediastudies@mas.to (Global Media Studies Network)
@talestomaz@sciences.social (Tales Tomaz, University of Salzburg)
