Account address,Show boosts
darribas@mapstodon.space,true
daveparr@mastodon.social,true
DaveStorey@mastodon.ie,true
david_j_manley@mapstodon.space,true
davidbissell@mastodon.social,true
davidfawcett@mastodon.social,true
DavidHarvey@sciences.social,true
deanhardy@mastodon.social,true
DeanPhelan@mastodon.ie,true
DebbieHopkins@mastodon.green,true
defuneste@fosstodon.org,true
delawen@mastodon.social,true
dianaojeda@mas.to,true
DiazGarayua@sciences.social,true
dinomirMT@mastodon.social,true
djkleine@mstdn.social,true
dkwiens@mastodon.social,true
DonMeltz@mastodon.cloud,true
donnahouston@mstdn.social,true
Dragons8mycat@mapstodon.space,true
dralibrowne@mstdn.social,true
drdconlon@mastodon.social,true
DrKate99@mastodon.world,true
DrLandscape@mapstodon.space,true
drmingliyong@universeodon.com,true
DruidSmith@mastodon.social,true
dvkprksh@sciences.social,true
eco_amandine@ecoevo.social,true
EconGeo@social.anoxinon.de,true
edwardcarr@mastodon.social,true
edzer@mastodon.social,true
egubrium@mas.to,true
ejdoli@sciences.re,true
eldfjallakoku@mapstodon.space,true
eloraraymond@mastodon.social,true
emelinecomby@sciences.re,true
emilehnstrom@mapstodon.space,true
emilytmurray@mastodonapp.uk,true
emmapower@sciences.social,true
EricFielding@mastodon.social,true
ericnost@mastodon.online,true
erki@mastodon.social,true
erverd@sciences.re,true
EvenRouault@mastodon.social,true
f_ostermann@mstdn.social,true
farhanasultana@mastodon.social,true
Faultwater@mstdn.social,true
fbahoken@mapstodon.space,true
fcorowe@fosstodon.org,true
FilippoMenga@mastodon.social,true
florianeclement@siences.social,true
fmark@zirk.us,true
fncmagalhaes@mastodon.world,true
frhartz@sciences.social,true
fromgalway@mastodon.ie,true
fsielker@mstdn.science,true
funambule@mastodon.social,true
g_fiske@mapstodon.space,true
gailfdavies@mstdn.social,true
gboeing@mas.to,true
gdal@mastodon.social,true
geo_garver@mastodon.social,true
geo@mastodon.social,true
geobabbler@mastodon.cloud,true
geocaruso@mstdn.social,true
geodarcy@mastodon.social,true
geografo@mastodon.social,true
GeoPlanIT@mastodon.social,true
geoprofmathews@mastodon.world,true
geospacedman@mastodon.social,true
geoviews@mapstodon.space,true
ggioli@eldritch.cafe,true
gicycle@mastodon.social,true
GioBettini@sciences.social,true
gisplanner@mapstodon.space,true
godinjulien@mastodon.mim-libre.fr,true
GordonK@mapstodon.space,true
gsutton@mapstodon.space,true
gwilymeades@mastodon.social,true
hamishkallin@mastodon.social,true
hasterly@mastodon.green,true
heike@mastodon.world,true
hfueller@mastodon.sdf.org,true
htenkanen@mastodon.social,true
huyenkle@masto.ai,true
iandees@mastodon.social,true
ibn_billttuta@mastodon.se,true
ICalzada@mastodon.social,true
ifidimi@mas.to,true
ilariacaterina@aus.social,true
indianaclimate@fediscience.org,true
InkedGeo@mastodon.social,true
insolit@toot.aquilenet.fr,true
isoutar@mastodon.green,true
itsdandi@mastodon.uno,true
IvanSanchez@mastodon.social,true
jakobmiksch@mastodon.social,true
JamieFurlong@mas.to,true
JamieLJones8@zirk.us,true
JanWuite@fediscience.org,true
jaredmargulies@mastodon.social,true
jasondittmer@mas.to,true
jaspermontana@mas.to,true
jbarros@mastodon.social,true
jeffmasuda@mastodon.sdf.org,true
jen_owen@sciences.social,true
jeremy@mapstodon.space,true
jeremycrampton@mastodon.social,true
jess_emclean@mastodon.social,true
jessibreen@mastodon.social,true
JiMakinen@mstdn.social,true
JimmyRocks@fosstodon.org,true
jimproctor@sciences.social,true
joepainter@mas.to,true
joepierce@mastodon.scot,true
johannawaters@toot.wales,true
johsvogel@scholar.social,true
joncinnamon@mas.to,true
JoniVainikka@mastodon.social,true
JoshGeog@mstdn.social,true
joshjcousins@mas.to,true
jpcc@mastodon.social,true
jpjonesiii@mastodon.world,true
Jporto@mstdn.social,true
jreades@mapstodon.space,true
jshannon@mapstodon.space,true
JulianBrigstocke@mastodon.online,true
JulienMigozzi@mastodon.social,true
JulietJFall@mastodon.social,true
justb4@mastodon.social,true
JustinColeGIS@mastodon.cloud,true
justinmponcet@sciences.re,true
JWGrade@mapstodon.space,true
jwhyte@mastodon.social,true
karenetill@mastodon.ie,true
kargkama@mastodon.green,true
kartenmaler@Mastodon.social,true
katederickson@mas.to,true
Katharinewillis@mastodon.green,true
katherinebrickell@mastodon.online,true
katiecmoliver@mstdn.social,true
KavitaUrbanist@mstdn.social,true
kayatatjana@aus.social,true
kcredit@mapstodon.space,true
Keiko_geo@sfba.social,true
kellystanford@mastodon.social,true
kgeographer@mas.to,true
kieran@kolektiva.social,true
kinokofry@urbanists.social,true
kmperham@mapstodon.space,true
KrisOlds@mapstodon.space,true
kyjts@mastodon.social,true
lebrungeo@sciences.re,true
lesleyhead@aus.social,true
lessorfewer@mstdn.social,true
lgayme@mastodon.top,true
lisabrawley@mastodon.social,true
liuluyu@urbanists.social,true
ljegou@vis.social,true
LocoCravey@mastodon.social,true
louisa_h@mas.to,true
LouiseAmoore@mastodon.social,true
LouiseJCrewe@home.social,true
lucaspohl@mstdn.social,true
luis_de_sousa@mastodon.social,true
luiza_bialasiewicz@mapstodon.space,true
lunavives@mastodon.social,true
madeleinehamlin@mastodon.social,true
manuchis@mastodon.online,true
mapalljohn@mastodon.green,true
mapbosse@todon.eu,true
mapes@mastodon.social,true
maphouse@mapstodon.space,true
mappingmashups@mastodon.social,true
marcbosch@mapstodon.space,true
mariaaabreu@mastodon.green,true
markboyle@mastodon.scot,true
markgreen@fediscience.org,true
markushesse60@mastodon.social,true
marygilmartin@mastodon.ie,true
MaryHenryGEO@mstdn.social,true
matthewthompson@mapstodon.space,true
mattiabunel@framapiaf.org,true
Mattiasdebacker@mstdn.social,true
mattwthompson@mas.to,true
mattwtsn@mstdn.social,true
mattzook@mastodon.social,true
maxchervaux@indieweb.social,true
maximilian@zirk.us,true
mcbenwell@mstdn.social,true
mccanless@mapostodon.space,true
McGIS@mastodon.social,true
mcwetboy@wandering.shop,true
mdorn@kcmo.social,true
MeghanCope@mastodon.social,true
MelissaLucash@mstdn.science,true
merling@sciences.social,true
mhaklay@mastodon.social,true
MichaelTBacon@social.coop,true
michalrzeszewski@mastodon.online,true
MicheleAcuto@mastodon.au,true
michelstuyts@fosstodon.org,true
michielvanmeeteren@mstdn.social,true
migurski@mastodon.social,true
milesklazar@mastodon.social,true
minchsg@mapstodon.space,true
miriammthsn@toot.community,true
miriamtedeschi@mas.to,true
mmdolbow@mapstodon.space,true
mmdolbow@mastodon.social,true
mobileharv@urbanists.social,true
monstrousgeog@mstdn.party,true
morganahcrowley@fosstodon.org,true
mortenfrisch@vis.social,true
mrutzinger@techhub.social,true
msevilla00@mastodon.social,true
mstephens@mastodon.social,true
mullenite@fediscience.org,true
mullenite@mastodon.lol,true
mwernergeo@mas.to,true
mysteriousdrbex@mastodon.social,true
narceliodesa@mapstodon.space,true
nategeog@mstdn.social,true
natosborne@aus.social,true
Nattydread@mastodon.ie,true
neocarto@vis.social,true
neteler@mastodon.social,true
nicopalacios@mas.to,true
NikaShilobod@fediscience.org,true
niklas@niklas.social,true
NiloufarVadiati@mastodon.world,true
NRoelandt@sciences.re,true
oleksa@mapstodon.space,true
olimould@mas.to,true
onur_tumturk@mapstodon.space,true
Owotakm@hostux.social,true
paolamin@mastodon.uno,true
Patnoxolo@mastodon.social,true
paulgmunro@aus.social,true
pcouper@mstdn.social,true
pdqnorman@mapstodon.space,true
peterajohnson@mas.to,true
peterhopkins@awscommunity.social,true
PetersonGIS@mastodon.social,true
petescarth@mapstodon.space,true
philbartie@mapstodon.space,true
philipscate@mastodon.au,true
philjonesgeog@mapstodon.space,true
philliponeill@mastodon.social,true
pieschker@mapstodon.space,true
Pip__T@mastodon.scot,true
Pkbwood@mastodon.online,true
plablo09@mastodon.social,true
pmeyfroidt@fediscience.org,true
pokateo@mastodon.social,true
POMazagol@mapstodon.space,true
posiki@mastodon.social,true
pratikbrick@mastodon.social,true
ProfessorJepson@mastodon.online,true
pwramsey@mastodon.social,true
pyroecophys@universeodon.com,true
R_RoseRedwood@mastodon.social,true
Raf@mastodon.social,true
raumplaner@mastodon.social,true
rdquodomine@urbanists.social,true
RebelGeo@mastodon.social,true
reecejones@mastodon.social,true
RegisHaubourg@mastodon.social,true
Reijert@mastodon.social,true
rglueckl@fediscience.org,true
richharris@mstdn.social,true
rjgeography@mastodon.online,true
rjhale1971@fosstodon.org,true
RMcMNow@mastodon.ie,true
robinlovelace@mastodon.social,true
robkitchin@mastodon.social,true
robskyhuntley@mapstodon.space,true
rriberaf@sciences.social,true
rsfrankl@mstdn.social,true
ruthmachen@mstdn.social,true
samday@climatejustice.social,true
sandrajasper@assemblag.es,true
sangomahanty@aus.social,true
sannajokela@mastodon.social,true
SaraFregonese@mastodon.social,true
Sarah_Davies@toot.wales,true
sarahbell@mapstodon.space,true
sarasomewhere@mastodon.social,true
scotinoz@aus.social,true
scotthosking@fediscience.org,true
sdesabbata@fosstodon.org,true
sevilla_buitrago@mstdn.social,true
ShaunHuston@h-net.social,true
shuwenzhou@mastodon.social,true
simonpeth@mastodon.social,true
sklosterkamp@mastodon.social,true
smitch_ca@social.linux.pizza,true
Smmanson@mastodon.social,true
sommer@fosstodon.org,true
songforthesong@mastodon.social,true
sonjamarzi@mstdn.social,true
space_sharing@mastodon.social,true
Spatial_Punk@mastodon.social,true
SpatialGeek@mastodon.social,true
spatialThinkLab@mastodon.nz,true
SReyCoyrehourcq@sciences.re,true
StefanoBloch@mastodon.social,true
steph_coen@mastodon.social,true
Stephen_Flood@mastodon.ie,true
steve@fediscience.org,true
stevenjgibbons@oslo.town,true
StreamOfSophie@mstdn.science,true
stuartelden@mastodon.social,true
suejackson@aus.social,true
sueroberts@mastodon.online,true
suzehocknell@qoto.org,true
tabeabork@mstdn.social,true
tabeabork@mstdn.social,true
tadusko@mstdn.social,true
Teanielmarie@aus.social,true
terglobo@mastodon.social,true
tess_osborne@mastodon.nl,true
thilowiertz@mastodon.online,true
thisismikehall@mapstodon.space,true
TimurJK@mas.to,true
TiranStefan@mastodon.social,true
tlecorre@mastodon.top,true
Tlopez@mastodon.world,true
tlrss@mapstodon.space,true
tomhargreaves@sciences.social,true
trevorpaglen@mastodon.social,true
trivikverma@datasci.social,true
tuuli@mastodon.green,true
twm@mastodon.sdf.org,true
tyler_blackman@mastodon.social,true
Tynergeography@mastodon.social,true
ubx@mastodon.online,true
udemsar@mastodon.scot,true
ulmi@mastodon.social,true
underdarkGIS@fosstodon.org,true
UrbanDemog@toot.community,true
urbanizationist@mas.to,true
ValerminiAlba@mastodon.social,true
vcarraro@akademienl.social,true
vcraciunescu@mastodon.social,true
vickyveritas@c.im,true
vickyveritas@mstdn.social,true
Vincent_Guermond@toot.community,true
vpicavet@mastodon.social,true
waeiski@vis.social,true
WhatIsRobShaw@mastodon.social,true
wilsonism@mstdn.social,true
wojciechkeblowski@masto.ai,true
wolfgangcramer@fediscience.org,true
wrayaj@mas.to,true
wvgeomorph@fediscience.org,true
xroijals@mastodon.bofhers.es,true
yann_c@im-in.space,true
Yingjie_Hu@mas.to,true
Yushantseng@mastodon.social,true
zool@mastodon.social,true
zpneal@mastodon.social,true
