Timestamp,What name do you want to be listed by?,What is your full Mastodon handle (@user@instance.name)?,What are your areas of interest/research?,,"What are your chronological areas of interests? (i.e. Early Modern period, 19th century etc.)","What is your geographical area of interest (e.g. Global, Sikkim, Indian Ocean, West Africa, Central Europe, Global South, Cyprus)?",Provide any other info for self-description,"If another list of Mastodon accounts is created that overlaps with those interested in history of STM (humanities, etc.) is created, may we share the info here with that list?","If you have an account on Twitter, consider adding your account handle here to help your follows from there find you here:",Mastodon Profile Link
11/12/2022 17:55:39,Peter Broks,@peterbroks@mastodon.social,"Popular science, science communication.",,Mainly 19th and 20th century,Europe and US,"Author of ""Media Science Before the Great War""",Yes,@peterbroks,https://mastodon.social/@peterbroks

11/13/2022 4:30:41,Toby Juliff,@TobyJuliff@hcommons.social,interface of contemporary art and science; pandemics; HCI and science communication; science and law,,Early 20th C (before 1940) and contemporary,Global - but with particular emphasis on last decades of British Empire and contemporary Australia,"Curator of Pandemic (contemporary art exhibition, Hobart 2019 - a year before COVID, I know!), I've commissioned a number of HCI artworks that explore science communication",Yes,,@TobyJuliff@hcommons.social

11/13/2022 19:13:52,Yi-Tang Lin,@yitang_lin@mas.to,"international organizations, global health, statistics, rice sicence and technologies",,20th century,"East Asia, West Africa",,Yes,YiTangL1,https://mas.to/@yitang_lin

11/14/2022 8:25:56,Gabriel Galvez-Behar,@ggalvezbehar@social.sciences.re,"History of innovation, history of intellectual property",,"19th century, 20th century","Europe, USA",,Yes,,https://social.sciences.re/@ggalvezbehar

11/14/2022 17:46:53,Carsten Timmermann,@ctimmermann@mastodon.social,"History of biomedical science; pharmaceuticals, risk factors, cancer, cardiovascular disease; history of biology; history of psychiatry & mental health",,Mostly 19th and 20th century,Mostly Europe & North America,,Yes,ctimmermann,https://mastodon.social/@ctimmermann

11/14/2022 18:27:33,Elizabeth Neswald,@Octobeth@mastodon.social,"nutrition, metabolism, diabetes, material culture",,19-20c,"mainly Europe, North America",Associate Prof,Yes,@eneswald1,

11/14/2022 19:11:19,Harriet Richardson ,@HarrietRichardsob@c.im,Hospital design ,,18th to 20th centuries,"Central Europe, U.K. mostly","I am an architectural historian, currently researching NHS hospitals in Scotland ",Yes,@FredaWorkey,

11/14/2022 21:11:14,Michael Bresalier,@mcbresalier@mastodon.social,HSTM/Infections/Food,,19th/20th,Global/Britain/South Asia,,Yes,@MBresalier,https://www.swansea.ac.uk/staff/michael.bresalier/

11/14/2022 22:52:56,B. Ricardo Brown,@NODE801@mastodon.social,"Natural History, Darwin, History of Biology, Ecology, and Sociology, Critical Theory, Materialism",,"Classical antiquity, 17th-20th Centuries","United States, North America",Professor of Social Science & Cultural Studies Pratt Institute ,Yes,@UntilDarwin,https://mastodon.social/@NODE801

11/15/2022 12:46:09,Kevin Matthew Jones,@KevinMatthewJones@noc.social,"HSTM, HPS, STS, Social History, Medical Classification, Psychiatric Classification, History of Psychology, Psychiatry and Neuroscience, Frankfurt School, Existentialism, Phenomenology, Science Communication. ",,"Principally 19th and 20th for research, but interests and teaching experience in Ancient and Early Modern","Principally the United Kingdom and Ireland for research, but interests in framing my research within Global history.","My research focuses on the development of medical classification, epidemiology and medical data in modern history. I am interested in the social history of medical records, and the implication of these histories to current issues within the philosophy of medicine. ",Yes,@KevinMattJones,https://noc.social/web/@KevinMatthewJones

11/15/2022 13:43:03,Pavel Ratmanov,@pavelratmanov@mastodon.sdf.org," History of medicine, international health, Soviet medicine",,20th century,"Soviet Russia,  Europe, USA",Historian of Medicine,Yes,@PavelRatmanov,

11/15/2022 17:20:15,Harriet Richardson Blakeman,@HarrietRichardson@mastodon.scot,Hospital architecture and design. NHS history.,,18th to 20th centuries,Mostly United Kingdon,"PhD candidate University of Edinburgh, NHS hospital architecture in Scotland",Yes,@FredaWorley,https://mastodon.scot/@HarrietRichardson

11/18/2022 10:20:36,Sarah Hamilton,@srhamilton@mastodon.social,"Environmental history, water history",,Modern period,"World, Spain, Europe, Australia",,Yes,@S_R_Hamilton,https://mastodon.social/@Srhamilton

11/18/2022 11:24:43,Julie LE GOIC-AUFFRET,@Julie_Le_Goic@mastodon.social,Pliny The Elder; Antique Science; Ichthyology,,Antiquity,,,Yes,@JulieLG_Pline,https://mastodon.social/@Julie_Le_Goic

11/19/2022 1:04:24,Jason Änanda Josephson Storm,ghostimage@mastodon.lol,"History of the Human Sciences, Postcolonial, Philosophy of science, transnational history.",,1600 to the present,"East Asia (esp Japan), Western Europe (esp, France and Germany)",,Yes,Ghost_Image_,https://mastodon.lol/@ghostimage

11/19/2022 15:33:20,Joel Glasman,@joelglasman@fediscience.org,"STS, humanitarian aid, global health, history of the state",,20th and 21th Century,"Africa, West Africa, Cameroun, Togo",,Yes,@glasmanjo,

11/19/2022 17:24:41,Lukas Mengelkamp,@LukasMengelkamp@sciences.social,"Nuclear History, History of Peace and Conflict Studies, Intellectual History",,20th century,Global,,Yes,@LukasMengelkamp,https://sciences.social/@LukasMengelkamp

11/19/2022 22:08:40,Theresa Steffestun,@TSteffestun@mstdn.science,History of Economics,,19th and 20th century,Central Europe,,Yes,@TSteffestun,

11/20/2022 12:01:03,Axelle Champion ,Axelle_Champion@zirk.us,"History of medicine and psychiatry, gender studies and disability studies. History of childhood and adolescence.",,19th and 20th centuries,Europe ,She/her ,Yes,@axellechampion,https://zirk.us/@Axelle_Champion

11/20/2022 18:12:57,Robert-Jan Wille,@RobertJanW@mastodon.social,"Transcontinental history of life, atmospheric and earth sciences",,(Late) Modern period ,"Europe, Southeast Asia, Oceans, Global Troposphere and Stratosphere ",,Yes,RobertJanW,

11/20/2022 19:41:53,Jessica Stockdale,@_JAStockdale@qoto.org,"Placebos, clinical science, medical methodology, research integrity",,20th century,"America, Europe, UK",,Yes,@_JAStockdale,https://qoto.org/@_JAStockdale

11/20/2022 20:15:23,Angela Cassidy,@ange_cass@mstdn.social,"Popular science, animal history, history of medicine, environmental history, STS, policy, infectious disease, conservation, evolution",,"20th century, 21st century, contemporary history","UK, Europe","Scholar of science, society + policy, wrt humans-animals-environments; @ange_cass on BirdApp; @ange_cass_pics on Instagram",Yes,@ange_cass,https://mstdn.social/@ange_cass

11/20/2022 21:21:51,Yulia Frumer,yfrumer@vmst.io,"History of technology, design bias, tacit and embodied knowledge, robotics, East Asian, transnational, translation",,"Currently 20-21 century, but trained as an early modernist.","Japan, East Asia, transnational, eastern block",Associate prof at Johns Hopkins,Yes,#prptualforeigner,vmst.if/@yfrumer

11/20/2022 22:09:17,Edward Jones-Imhotep,@ejonesimhotep@mastodon.social,"History of technology, history of the self",,Modern,"America, Europe",University of Toronto,Yes,@ejonesimhotep,https://mastodon.social/@ejonesimhotep

11/22/2022 22:07:53,Gabrielle Robilliard,@GRobilliard@mastodon.sdf.org,"Early modern medicine/body, intoxicants, drugs, tea, coffee, plague medicine, apothecaries",,"Early modern, 17th century, 18th century","Western Europe, Germany, Baltic Region","Researcher (postdoc) on Prize Papers Project at University of Oldenburg, Germany.",No,@GabyRobilliard,https://mastodon.sdf.org/@GRobilliard

11/23/2022 9:57:39,Hist Sci Tech @EPFL (group account),@histscitech@fediscience.org,"history of science, history of technology, sts",,18th c. - today,"Europe, Global","Group account for the Laboratory for the history of science and technology, EPFL (Switzerland)",Yes,@lhst_epfl,https://fediscience.org/@histscitech

11/23/2022 11:52:34,Brian Hughes,@b_m_hughes@mastodon.ie,"Social history of psychological concepts, history of academic psychology",,"Early Modern, Modern",Global,"Professor of Psychology, University of Galway",Yes,@b_m_hughes,https://mastodon.ie/@b_m_hughes

11/23/2022 22:47:07,Jay Shaw ,@Greyjay69@h-net.social,"The National Advisory Committee for Aeronautics, 1915-1958",,20th Century,United States,PhD Student ,Yes,,

11/25/2022 19:05:17,Usama A. Syed,@neurobotist@techhub.social,"Mechatronics, Robotics, AI, IoT, Quantum Computing",,"1500s, 1820s, 1870s, 1930s, 1970s -",Global,,Yes,neurobotist,https://techhub.social/@neurobotist

11/27/2022 4:22:17,Stephen Chrisomalis,@schrisomalis@mastodon.online,History of premodern mathematics; number systems,,Ancient and medieval,Global,,Yes,@schrisomalis,https://mastodon.online/@schrisomalis

11/27/2022 9:40:45,Ketil Slagstad,@kslagstad@mstdn.social,"Nosology, paper technologies, classification systems, praxiology, activism  ",,19th and 20th Century,,,Yes,kslagstad,https://mstdn.social/@kslagstad

11/27/2022 20:41:48,Dr Surekha Davies,@SurekhaDavies@historians.social,"monsters, cultural encounters, ethnography, visual culture, cartography",,Early Modern; also transtemporal (antiquity to the present),Europe and the Americas; also transregional more generally,"Author of Renaissance Ethnography and the Invention of the Human: New Worlds, Maps and Monsters (Cambridge UP, 2016). Now writing Humans: A Monstrous History (U. of California Press; a lead trade-list title).",Yes,@sourdoughchef,https://historians.social/@SurekhaDavies

11/27/2022 21:44:06,Anne Fausto-Sterling,@faustosterling@mastodon.world,"gender, history of science, history of biology, history of sexology",,"mostly 20th century, but the 19th too",north American and Western Europe,I am a biology-STS-history-gender studies hybrid,Yes,@fausto_sterling,@faustosterling@mastodon.world

11/27/2022 22:42:15,Celine Camps,@celinecamps@historians.social,"History of Science, Art and Material Culture, Craft, Metalworking",,"Early Modern, Medieval",Europe (especially Germany),PhD candidate at Columbia University,Yes,@Celine_Camps,https://historians.social/@celinecamps

11/28/2022 1:23:09,Jeffrey Yost,@justcodeculture@mastodon.social,"History of computing, software, and inequality",,20th century,"US, Britain, and India","Director of Charles Babbage Inst. an interdisciplinary ctr & archives for computing & culture; Prof of Hist. Sci/Tech, U. of Minnesota",Yes,@justcodeculture,https://mastodon.social/@JustCodeCulture

12/1/2022 16:29:47,Catherine Will,@polymath@mastodon.world,Antimicrobial resistance; evidence; technology; truth; public health,,20th century,Europe,,Yes,Will_catherine,

12/2/2022 11:43:39,Izel Demirbas,@izeldemirbas@mastodon.world,"History of medical ethics, experimental research on humans and animals, psychiatry, women's health",,20th Century,"Europe, USA",PhD Student,Yes,@DemirbasIzel1,https://mastodon.world/@izeldemirbas

12/5/2022 22:56:06,Rosi Crane,@rosicrane@mastodon.nz,"Museum history, Colonial history, Anglophone world",,19th & early 20th century,"New Zealand, Australia, UK","Honorary Curator History of Science, Otago Museum, Dunedin, NZ",Yes,https://twitter.com/rosicrane,https://mastodon.nz/@rosicrane

12/17/2022 5:00:18,Bennett McIntosh,@bennett@scholar.social,"Social Sciences, Genetics, Data Practices",,21st century,US,UW-Madison,Yes,@wordsbybennett,https://scholar.social/@bennett

12/17/2022 11:10:36,Antoine Huerta,@antoine_huerta@social.sciences.re,"Intellectual History, Geography, Cultural relations",,19th-20th,"France, Americas (Brazil, French Guiana)",,Yes,,

12/18/2022 1:18:40,Lee Raye,@LeafyHistory@computerfairi.es,"history of natural history, animal history",,medieval and early modern,Britain and Ireland,,No,@LeafyHistory,https://computerfairi.es/@LeafyHistory

12/19/2022 10:37:39,Sabrina Kirschner,@sabrinakirschner@mastodon.social,"History of Engineering, Pollution Control (air and water pollution)",,20th century,Latin America,,Yes,sabrinakir84,https://mastodon.social/@sabrinakirschner

12/19/2022 16:30:53,Elihu M. Gerson,@emgerson@mstdn.social,"Sociology of life sciences, computing, medicine",,19th - 21st centuries,"US, Europe",,Yes,EM_Gerson,https://mstdn.social/@emgerson

12/22/2022 11:58:44,Chaokang Tai,cktai@zirk.us,History of astronomy / history of photography,,late modern / 20th century,Netherlands / Western Europe / Indonesia / South Africa,Postdoc at University of Regensburg,Yes,,zirk.us/@cktai

1/14/2023 13:28:46,Xinyi Wen,xinyiwen@hcommons.social,"History of science and medicine, book history, image studies",,Early modern,Europe,https://www.hps.cam.ac.uk/directory/wen,Yes,@HPSWarburgian,https://hcommons.social/@xinyiwen
