Time and date added,What name do you wish to be listed by? ,What is your Mastodon handle (@username@instance.name),Do you have a Twitter handle you would like to share? (This can help people you know on Twitter to find you on Mastodon) ,Feel free to add a brief bio ,What hashtags (up to 5) best describe the content you post? 
11/20/2022 7:05:18,Jian Zeng,@JianZENG@genomic.social,@Jian_Zeng90,"Postdoc at COS Heidelberg, stem cell biology",#plantscience#stemcellbiology#bioinformatics

11/20/2022 10:07:45,Jim Rowe,@BotanicalJim@mastodon.online,@BotanicalJim,"He/him Plant stress and dev, ABA, biosensors, image analysis. Postdoc in Alexander Jones's lab at SLCU, previously Keith Lindsey and Stuart Casson labs.",#AbsicisicAcid #AbioticStress #Biosensors #Humidity #ImageAnalysis

11/20/2022 13:58:57,Stephan Wagner ,@stephanwagner@mastodon.social ,@DrStephanWagner,"I coordinate a plant research PhD programme at the Max Planck Institute for Plant Breeding Research in Cologne, Germany and have scientific roots in structural biochemistry and plant energy biology. ",#phdlife #plantscience #scicomm

11/20/2022 14:02:35,Matilda Brown,@matildabrown@ecoevo.social,Matildajmbrown,,#palaeoecology #RStats #conservation

11/20/2022 14:06:41,Kay Schneitz,@kay@mstdn.science,PlantDevTUM,,"#CellWall, #DevBio, #EvoDevo, #signaling, #imaging"

11/20/2022 14:08:48,Chris Oakley,@cgoakley@ecoevo.social,@quercus62,,

11/20/2022 14:11:11,Elina Welchen,@ewelchen@mastodon.social,@ewelchen,Argentinian. Plant molecular biologist. Trying to understand how plants coordinate energy availability with growth and defense.,#mitochondria #biotic stress #OXR proteins #oxidative stress

11/20/2022 14:16:30,RÃ¼diger Simon,@simonrdg@social.cologne,@simonrdg,,"climate, plant science, politics, fun"

11/20/2022 14:53:22,Andrew Hipp,@andrewlhipp@ecoevo.social,@andrewlhipp,"Plant evolutionary biologist, naturalist, systematist, botanist, #herbarium director at The Morton Arboretum. First interested in plant evolution by way of sedges, now I also work on oaks, phylogenomics, hybridization, plant biodiversity broadly."," #herbarium, #oaks, #phylogenomics, #hybridization, #biodiversity"

11/20/2022 15:15:02,Constance Laureau,cstelaureau@sciencemastodon.com,@Const_Laureau,"Plant ecophysiologist from France, also ",#PlantScience #Alps 

11/20/2022 15:20:06,Adrien Luyckx,@Hcomosa@ecoevo.social,@Hcomosa,"I'm a PhD student at UCLouvain, Belgium. I work on salinity tolerance in Amaranthus cruentus, in a lab of plant physiology. I am also a teaching assistant in plant anatomy and systematics.",#PlantPhysiology #PlantAnatomy #Botany #StressTolerance #IamABotanist

11/20/2022 15:21:14,Colleen Iversen,@Colleen_Iversen@mstdn.social ,@Colleen_Iversen,www.ColleenIversen.com,#Belowground # Roots #ScienceEmbroidery

11/20/2022 15:27:22,Dong-Ha Oh,@inspirace@genomics.social,@inspirace,,#ComparativeGenomics #AbioticStress

11/20/2022 16:15:17,LoÃ¯c Chalmandrier,chalmandrierl@ecoevo.soci,chalmandriel,plant community ecologist. Modeller.,

11/20/2022 16:21:12,Irina Fiebig,@IrinaFiebig@genomic.social,@calic_irina,Postdoc at Uni Cologne,#Genomics #Systems Biology #EvolutionaryGenetics #Bioinformatics

11/20/2022 16:42:06,Norbert Holstein,@dr_norb@fediscience.org,@dr_norb,"Herbarium curator at NHM London, plant taxonomist","#Botany, #NaturalHistory, #taxonomy, #HistoryOfScience, #herbaria"

11/20/2022 17:33:58,Max Mallen-Cooper,@maxmallencooper@ecoevo.social,maxmallencooper,Community ecology under climate change,#functionalecology #macroecology #biocrust #climatechange #rangeshift

11/20/2022 17:38:07,Shyam Phartyal ,@shyamphartyal@ecoevo.social,@shyamphartyal,"I am Seed Ecologist and Associate Professor at Nalanda University, India ","Seed ecology, plant functional traits, Forestry, Citizen Science "

11/20/2022 17:52:32,Richard Rachman,@a_wandering_ecologist@ecoevo.social,,"Plant ecologist interested in invasive species, wildfire, and urban ecology",#wildfire #communityscience #inaturalist #botany #ecology 

11/20/2022 18:04:15,Lev Tsypin,@LTsypin@fediscience.org,@LMT_Spoon,"I am finishing my PhD, which focused on some microbial chemical ecology, and am about to start a postdoc looking into the biology of lipid secretion by the green microalga Botryococcus braunii",#microbiology #protistology #algae #AcademicChatter

11/20/2022 18:04:36,Priscilla Muriel,@prisci_muriel@ecoevo.social,@prisci_muriel,"Tropical alpine plant and climate monitoring, useful plants, taxonomy",#ClimateChange #ILovePlants #WomenInSTEAM #Neurodivergence #2e

11/20/2022 18:05:13,Erik Delaquis,@ErikDee@Fediscience.org,@ErikDee3,"Agricultural scientist working with CGIAR/Alliance of Bioversity International and CIAT. Focus on seed systems - production, agronomy, exchange networks, agrobiodiversity, etc.",#SeedSystems #Science #InternationalDevelopment #Phytopathology #RStats

11/20/2022 18:47:08,Maria Gatta,@M_Gatta@ecoevo.social,@M_Gatta,Botanist & zoologist interested in trophic ecology & games.,

11/20/2022 19:18:16,Coho,Coho@climatejustice.social,,"CA native plant enthusiast, i do watershed restoration, oak woodland restoration, enhancing native plant communities ",#CaNativeGrass #CaNativePlants #watershedrestoration # FireEcology

11/20/2022 19:41:05,Juli Pausas,@jgpausas@fediscience.org,@jgpausas,"Ecologist studying plant adaptations to disturbance (resprouting, belowground buds, serotiny, seed dornancy, bark thickness, etc.)",#Resprouting #FireEcology #SeedDormancy #Mediterranean #savannas 

11/20/2022 19:47:23,Megan Lynch,@ml@ecoevo.social,@may_gun,"Disabled Masters student at UC Davis in horticultural science/plant breeding. Almond bud development, carob (Ceratonia siliqua), and dismantling ableism in STEM.","pomology, horticulture, plant breeding, DisabledInSTEM"

11/20/2022 19:50:41,Jenny M,@ClimateJenny@mastodon.social,,Amateur naturalist/citizen scientist w/plant focus,

11/20/2022 20:52:47,Julian Kiely ,@JulianPalaeoArt,@JulianPalaeoART,"Hi, I'm a UK based Palaeobotanist and Palaeobotanical illustrator who researches Early Cretaceous plants and plant life apperance.",#paleobotany #paleontology #gymnosperms #gnetales #scientificillustration

11/20/2022 21:07:15,Rodrigo Reis,@rodrigoreis@qoto.org,@Rodrigo_S_Reis,New PI interested in RNA and plant adaption. ,"Posttranscription, RNA, thermomorphogenesis, translation"

11/20/2022 21:13:45,Tim Curran,@TimCurran@mastodon.nz,@TimCurran8,"Scientist, teacher, dad, bibliophile, cricket tragic, snorkeler, rockpooler. Uses traits to understand plant responses to disturbance. Likes to BBQ plants.",#fireecdology #plants #ecology #marine 

11/20/2022 22:07:53,Dr Anke Marsh,@MarshScapes@flipping.rocks,@AnkeMarsh,"I am a palaeoecologist using microfossils (especially phytoliths) to understand past climate/environmental change in the Mediterranean and Middle Eastern regions. I am also a trustee at the London Natural History Society and the Earthworm Society of Britain, and spend a lot of time in my local woods and urban areas surveying and photographing plants, fungi, invertebrates, everything. ",#Plants #Microfossils #NaturalHistory #NaturePhotography #ClimateChange

11/20/2022 22:11:41,Nemo Peeters,@nemopeeters@fediscience.org,@nemopeeters,,#plantbiology #phenotyping #pathogens #policy #carbonfootprint

11/20/2022 22:14:51,Jhon Venegas-Molina,@jvenegasmolina@genomic.social,@jvenegasmolina,PhD candidate at VIB - Ghent University studying jasmonate signaling and defense using chemo-proteomics approaches,#Jasmonates #ChemoProteomics #SpecializedMetabolites #PlantMetabolism #PlantDefense

11/20/2022 23:06:21,Jeffrey Ross-Ibarra,@jrossibarra@ecoevo.social,@jrossibarra,,#evolution #maize #PopGen #puns

11/20/2022 23:10:06,Sonali Roy,@sonaliroy@mastodon.online,@sonaliroy_,,

11/21/2022 2:25:54,Alistair Smith,@pyroecophys@universeodon.com,@pyroecophys,,#FireEcology #pyroecophysiology #ecophysiology #trees #morphology

11/21/2022 6:52:29,Waqas Yousaf ,waqasyousaf@mastodon.world,Waqasgoraya100,Interested in plant sciences ,#Plant physiology # Nano-biochar# Nano-particle#plant breeding#plant genetics

11/21/2022 7:28:41,Isabel Mendoza,@isabelmyp@nerdculture.de,@isabelmyp,Multi-tasking (sort of) all day long #plantsci ð #scicomm ð©âð¬ The hand behind @globalplantGPC  and @GPC_EnEspanol,#scicomm #plantscience #sciencecommunication #agriculture #science

11/21/2022 7:51:39,Michael Roach,@BeardyMcJohnFace@genomic.social,@BeardyMcFace,Research Fellow at Flinders University interested in plant genomics and more recently viral metagenomics.,#bioinformatics #PlantScience #phages 

11/21/2022 9:09:44,Physiologia Plantarum,@PPL@genomic.social,@PPLplantarum,"We are a society owned Plant Journal, and use are channels to promote our authors and plant science in general ",#plantscience #plantsci 

11/21/2022 9:13:12,Paul Kardol,@PaulKardol@ecoevo.social,@PaulKardol,"I am a terrestrial ecologist at the Swedish University of Agricultural Sciences (SLU), studying the effects of global change on plants, soil biota, and the ecosystem processes they drive. ",

11/21/2022 9:16:07,MarkR,mbrmark@mastodon.world ,@MBRMark,Interested in all plant science,#Plants #biology #Scotland #thailand

11/21/2022 17:14:50,Aadil Y. Tantray,a.y.tantray@gmail.com,@aadil_tantray1,"Working on Plant genetics, Plant physiology, and Nutrient-use-efficiency, using approaches like phenotyping, proteomics, and GWAS",#Plant physiology #Genetics and Plant Breeding #Phenotyping #GWAS

11/21/2022 18:59:58,Pilar Cubas,@pilarcubas@mstdn.science,@pilarcubas,Plant molecular biologist interested in development and evo-devo. I study the gene regulatory networks controlling shoot branching and bud dormancy. I am also investigating the role of TCP transcription factors in these and other processes. ,#plantbiology #science #politics #sciencejokes #climate

11/21/2022 19:24:18,Anne VatÃ©n,@annevaten@qoto.org,@AnneVaten,,

11/21/2022 19:45:37,The Arabidopsis Information Resource (TAIR),@tair@genomic.social,@tair_news,"Genomic database for A. thaliana, supporting the community since 1999, supported by community subscriptions since 2014. Part of Phoenix Bioinformatics.",#Tweetorial #DatabaseNews #Conferences #PlantBioJobs

11/21/2022 20:38:23,APSbacteriology,@APSbacteriology@mstdn.science,@APSbacteriology,American Phytopathological Society Bacteriology Committee,

11/21/2022 22:49:07,Alastair Culham,@thebotanist@mastodon.sdf.org,@botanyRNG,"Professional botanist, taxonomist, phyligeneticist, with broad botanical interests.",#botany #teaching #taxonomy #horticulture 

11/21/2022 23:49:24,Kevin Garcia,@KevinGarcia@mstdn.science,@Garcia__Kevin,"Assistant Professor at North Carolina State University, working on plant-microbe interactions, specifically on mycorrhizal symbioses.",#mycorrhiza #symbiosis #plant nutrition #transport proteins #potassium

11/22/2022 2:25:33,Margi Willowmoon,@oaksong@qoto.org,,,

11/22/2022 4:31:44,Prakash Sivakumar,@meiosiva@qoto.org,@meiosiva,"Studying gametophyte development of plants using OMICs, fancy tools and genetics. In simple terms, mechanism of genetic transfer (meiosis) by applying geneticshttps://sites.google.com/view/prakash-sivakumar ",#meiosis #plant #development #evolution #inclusion

11/22/2022 21:06:22,Umberto Ferrando,umbferr16010,No,I started dealing with vascular flora almost 35 years ago and I never stopped...,@flora @vascular_flora @botanical-photography

11/23/2022 13:43:13,Anthony Digrado,@DigAnthony@ecoevo.social,DigAnthony,Plant physiologist studying canopy photosynthesis and the impact of elevated CO2 on seed quality ,#photosynthesis #canopy #elevatedCO2 

11/23/2022 16:56:18,Charlie GarcÃ¬a-Mata,@CharlieMDQ@genomic.social,@CharlieGMmdq,,

11/23/2022 21:04:12,Sebastian Samwald (Basti),@samwalds@mastodon.social,@samwalds,"Postdoc at the John Innes Centre in Norwich (UK) until March 2023, when I will move to the Max Planck in Cologne. I do a lot of microscopy and cloning, and am always listening, learning and standing up for EEDI. ",#plants #microscopy #LGBTQ

11/24/2022 7:24:57,Leni Campbell-Clause,@ClauseLeni@genomic.social,@ClauseLeni,PhD Candidate - Small Lab @ UWA. Research interests include - Chloroplast biology | Genetic modification | SynBio,#plantbiology #chloroplastbiology #genetics #bioinformatics #synbio

11/25/2022 13:34:49,Guillaume Lobet,@guillaume@scholar.social,guillaumelobet,Ass. Professor Forschungszentrum JÃ¼lich & UCLouvain working on roots,#root #science #openscience #model 

11/25/2022 14:04:06,Pierre Casadebaig,@casadebaig@ecoevo.social,@pircasa,Scientist at INRAE working on crop modeling for sustainable agriculture.,#model #ecology #agronomy #openscience

11/25/2022 14:06:33,Hunter B,@HunterB@home.social,,"Former plant sci researcher + grad student. Current director of a sciemce center. Teach, exhibit and sometimes diy plant sci. ",#diybio #opensource #scicomm

11/25/2022 15:25:56,Katharina Melkonian,@KatharinaMel1@ecoevo.social,@KatharinaMel1,"Biologist, Post-Doc @LRSV_Toulouse. PhD @mpipz_cologne. Interested in evoMPMI, proteins, interactomics, Marchantia",#evoMPMI #proteins #interactomics #Marchantia #algae

11/25/2022 16:06:36,Susan Rundell Singer,@srsinger@mastodon.world,@srsinger,,#HigherEd #PlantTeaching #PlantDev

11/25/2022 16:24:37,Thomas Blein,@BleinThomas@fediscience.org,@BleinThomas,"Plant molecular researcher interested in quantitative regulation of gene expression and (root) growth, mainly related to non-coding RNAs",#PlantScience#RNABiology #ncRNA #GeneExpression #Epigenetics

11/25/2022 20:08:37,Susana Wadgymar ,@smwadgymar@ecoevo.social,smwadgymar,"Evolutionary ecologist, PUI, Invoice pedagogy, DEIJ",#evolutionaryecology #PUI #DEIJ #iamabotanist 

11/25/2022 20:23:56,Tom Kimmerer,@tomkimmerer@mastodon.social,@tomkimmerer,"Forest scientist, botanist, author",#trees #botany #scicomm #climatechange

11/25/2022 20:37:33,Justin Luong,@JustinCLuong@ecoevo.social,JustinCLuong,"Restoration ecologist, climate change and ecophysiology",

11/25/2022 20:45:38,Nora Heaphy,@noraceae@ecoevo.social,@noraceae,,

11/25/2022 21:05:26,Andreas Weber,@apmweber@mas.to,@apmweber,Plant scientist. Keen on understanding the inner works of photosynthesis. Works  @HHU_de Member of  @ceplas_1,#PlantSci #photosynthesis #gmo #crispr

11/25/2022 23:57:29,Victor Albert,@PlantEvoGenomics@ecoevo.social ,,"Plant evo-bio prof at the University at Buffalo | using #genomics, #phylogenetics, #bioinformatics and sometimes #evodevo to address problems in plant #EvolutionaryBiology ð§¬ð§ªð¿",

11/26/2022 7:49:07,Etienne Bucher ,@EtienneBucher@genomic.social,@methylcytosine,"Head of the Crop Genome Dynamics Group at Agroscope, Switzerland. Studying plant epigenetics and transposable elements and their use for crop breeding.","epigenetics, transposable elements, crop breeding, stress adaptation, climate change "

11/26/2022 8:51:43,Stuart Thompson,@DrSThompson@Toot.wales,@Dr_S_Thompson,I am a biochemistry lecturer at the University of Westminster and my research is mostly the biomechanics of plant growth,#FoodSecurity #PlantGrowth #PhilosopyOfScience #Ethics

11/26/2022 10:00:59,Taylor Ferebee,@tferebee@genomic.social,Ferebee2PhD,"Cornell Comp Bio PhD Candidate || MS in Math ||USDA NIFA AFRI Predoctoral Fellow || â¨Aspiring Science Consultant to Filmmakers, Grasses and Gene Regulation","#Maize, #GeneRegulation, #MachineLearning, #Multiomics"

11/26/2022 16:03:42,Jay Moore,@jaymoore@genomic.social,jonathan1moore,"Designing genome edits in crops at tropic.bio. Trail running, outdoor swimmnig, kungfu training, ceramics",#biotech #conservation #nature #health

11/26/2022 18:36:12,Katie Field,@katiefield4@mastodonapp.uk,@katiefield4,"Professor of plant-soil processes @PPS_UoS , @ScienceShef , leads  @field_lab_UoS . Senior Editor @FunEcology, Editor @plantspplplanet.  ",#Fungi #mycorrhiza #PlantScience #Soil

11/27/2022 11:32:41,Yinhong Cao,@yinhong_cao@genomic.social,@caoyinhong,"Postdoc, JiaYang Li's Lab, IGDB, CAS",plant genome structure and function

11/27/2022 18:27:14,Jennifer Regala,@JenniferRegala@mastadon.world,@JenniferARegala,I am the former Managing Editor of Plant ð± Phys and Plant ð± Cell and love the plant biology community ð,#scholarlypublishing #peerreview #DEI 

11/28/2022 1:37:35,Tamara Hernandez-Verdeja,@tamara_hverdeja@mastodon.social,@tamara_hverdeja,"Interested in chloroplast biogenesis, plastid retrograde signals and related pathways. Currently working at Lancaster University.  ",#plants #chloroplast #RetrogradeSignals #light

11/28/2022 15:48:08,Ronald Pierik,@ronaldpierik@mstdn.social,@ronaldpierik,Plant scientist at Utrecht University ,#science #plants #diversity #photobiology

11/29/2022 18:21:11,Valentin Couvreur ,@Valentin@mstdn.science,@ValentinCouvre1,"Plant hydrodynamics modeller, FNRS Research Associate, AGRO UCLouvain Professor ",#Hydraulics #Plant #Modelling #Anatomy #Diffusion

11/29/2022 22:01:31,Aleca Borsuk,@alecaborsuk@evoeco.social ,@aleca.borsuk,PhD Student in Plant Ecophysiology,

11/30/2022 6:29:47,Anke Hildebrandt ,@ankehildebrandt@social.anoxinon.de,ankehildebrand1,"Professor of terrestrial ecohydrology, Germany, PhD hydrology ",#Roots #RootWaterUptake #Canopy #Biodiversity #Drought

11/30/2022 15:45:06,Meys_Bakhshi,@bakhshiganje@instance.name,mesam_bakhshi,PhD in Plant Bacteriology-Plant Microbiome ,"Plant pathology, Plant microbiome, Forest pathology,  Bacterial systematics "

12/2/2022 21:52:37,Adriana Garibay H,@AdrianaGaribayH@ecoevo.social,@AdrianaGaribayH,Microalgae and mezcal lover ð Very interested in interactions of photrophic organisms with the environment... intrigued by the phenomena occurring at the membrane as borderline! ,#science #algae #lipids #cinema #mexico

12/4/2022 9:28:52,Martino Adamo,@martino_ecoveg@ecoevo.social,@martino_adamo,"I am an Italian postdoc working in Torino, Italy at biology dept. I am interested in Alpine plants conservation, plant microbiota and biases in societal plants perception. Experiencenced in biomolecular and statistical tools.",#newpaper #fieldwork #bias #dissemination

12/5/2022 16:53:34,Jennifer Mach,@jennifermach@scholar.social,@JenniferMach2,"Science editor and writer, co-founder of Plant Editors.",#PlantScience #SciComm #IAmEditing

12/5/2022 16:55:29,JIPB,@JIPB@mstdn.science,@JIPBio,Journal of Integrative Plant Biology,#PlantScience 

12/6/2022 0:43:27,ARC CoE for Plant Success,@PlantSuccess@mastodon.au,@CoEPlantSuccess,"ARC research centre brining together plant scientists, mathematical modellers, crop breeders, and legal experts to achieve Plant Success",#research #jobs #PhDopportunities #events

12/6/2022 17:13:54,Alexey Kiryushkin,@Alex_Kiryushkin@genomic.social,https://twitter.com/Alex_Kiryushkin,"I'm at the Komarov Botanical Institute. I'm interesting in lateral root initiation, auxin, cucurbits, root biology, plant transformation, CRISPR/Cas9.","#rootbiology, #plantdevelopment, #root, #crispr, #microscopy"

12/6/2022 18:52:52,Carolyn Rasmussen,@crasmussen@mastodon.social,@carolynplants,Associate professor in plant cell biology at UCR,#plants #CellDivision #cell #microscipy

12/7/2022 0:14:57,Victor A. Albert,@PlantEvoGenomics@ecoevo.social,,,#genomics #polyploidy #phylogeny

12/9/2022 17:55:57,Yes,@Koalaspirit@mastodon.online,@koalaspirit,Computational Plant Scientist that never studied biology but got into plants. Using computers to understand the function of plant phenotypes from a shape theory perspective.,#PlantScience #Phenotyping #Roots

12/9/2022 17:59:27,Alexander Bucksch,@Koalaspirit@mastodon.online,@koalaspirit,Computational Plant Scientist that never studied biology but got into plants. Using computers to understand the function of plant phenotypes from a shape theory perspective.,#PlantScience #Phenotyping #Roots

12/16/2022 16:40:07,Justin Walley,@JustinWalley@genomic.social,@JustinWWalley,"Associate Professor at Iowa State University. Proteomics, systems biology, plant-environment interactions, plant growth regulation.",

12/16/2022 22:51:31,Martin Balcerowicz,@tran_scription@genomic.social,@tran_scription,"Royal Society University Research Fellow at the University of Dundee, interested in plant signalling & development ð±âï¸ð¡ï¸ð§¬; He/him",#PlantScience #Transcription #Translation #Temperature #Light

12/19/2022 6:21:38,Kaisa Kajala,kaisakajala@genomic.social,kaisakajala,Assistant prof interested in barrier cell types and their evolution.,

12/19/2022 7:34:21,Kenichi Tsuda,@kenichitsuda@mstdn.science,@Billion_of_Gods; @KenichiTsuda4,ð¨ð³Professor@HZAUâð©ðªGL@MPIPZâðºð¸PD@UofMinnesotaâð¯ðµPhD@HokkaidoU.   Scientist who studies plant-microbe interactions.,Plant immunity; phytohormone; microbiota; evolution

12/19/2022 20:54:25,Isabel Monte,@Isabel_MonteG@ecoevo.social,@Isabel_MonteG,"Isabel studied Pharmacy and Biochemistry at the University of Salamanca (Spain) and did her Masterâs in Biotechnology at the University Autonoma de Madrid (Spain). In 2011 she joined Prof. Roberto Solanoâs lab (CNB-CSIC, Madrid) for her master thesis, PhD, and a short postdoc, where she investigated the evolution of jasmonate biosynthesis and signaling in land plants. In 2013, she started to work with her favorite plant, the liverwort Marchantia polymorpha, through a collaboration with Prof. Takayuki Kohchi (University of Kyoto, Japan). In 2019 she moved to Prof. Cyril Zipfelâs lab (University of ZÃ¼rich, Switzerland) as a postdoc to study plant immunity in M. polymorpha. Since 2022, she is Junior Group Leader at the ZMBP (University of TÃ¼bingen, Germany).",#marchantia #jasmonates #evodevo #evompmi #plantscijobs

12/20/2022 13:13:15,Liz Haswell,@ehaswell@mstdn.social,@ehaswell,Studying plant mechanotransduction at WUSTL | Co-host of Taproot Podcast | Deputy Editor Science Advances | Plant Advisor at Arcadia Science,#plantbiology #scicomm #sciculture

12/23/2022 1:02:11,Saima Shahid,@psaima@genomic.social,@psaima,"Assistant Professor, Oklahoma State University",#SmallRNA #Transposons #ParasiticPlants #InterspeciesRNAi

12/23/2022 12:26:08,Alan Schulman,@alanhschulman@genomic.social,@alanhschulman,"The Schulman group applies genetics, genomics and physiology to understand the role of retrotransposons in genome dynamics and to pursue the basis of drought resilience and quality traits in barley, faba bean, and oat.",#foodsecurity #genomics #fabaceae #barley #retrotransposon

12/25/2022 14:05:31,Pat Heslop-Harrison,@Heslopharrison@scicomm.xyz,@pathh1,"Professor in agricultural genetics, biodiversity, genomics & chromosome evolution at University of Leicester UK and South China Botanical Garden","genomics, food security, chromosomes, evolution, science"

