	0	1	2	3	4	5
35	109373375457207602	TucsonSentinel	TucsonSentinel@mastodon.tucsonsentinel.com	2022-11-19T00:00:00.000Z	182	2932
36	109276789924238203	diraquel	diraquel@masto.pt	2022-11-01T00:00:00.000Z	325	443
37	109274749275374235	cwebber	cwebber@octodon.social	2017-05-03T00:00:00.000Z	1756	10282
38	109295218810845766	glightly	glightly@mastodon.social	2016-11-26T00:00:00.000Z	536	592
39	109283765406896771	joeycastillo	joeycastillo@mastodon.social	2018-01-05T00:00:00.000Z	603	2323
40	109309311426867474	zeitbot	zeitbot@muenchen.social	2018-11-02T00:00:00.000Z	1	4449
41	109291637059070291	gvwilson	gvwilson@mastodon.social	2022-10-28T00:00:00.000Z	88	1289
42	109488632066842069	jonny	jonny@neuromatch.social	2022-12-05T00:00:00.000Z	912	1007
43	109405844315180679	bobthetraveler	bobthetraveler@mastodon.world	2022-11-25T00:00:00.000Z	427	487
44	109538447312000913	carnage4life	carnage4life@mas.to	2022-12-19T00:00:00.000Z	221	11669
45	109379725999226551	ml	ml@ecoevo.social	2022-11-21T00:00:00.000Z	280	571
46	109441595034187914	dungeons	dungeons@mastodon.social	2022-11-16T00:00:00.000Z	3	2275
47	109428498682149678	jenniferwaltersdances	jenniferwaltersdances@shakedown.social	2022-11-19T00:00:00.000Z	167	163
48	109309218156971573	fuzzykb	fuzzykb@hachyderm.io	2022-10-28T00:00:00.000Z	174	380
49	109514200970969686	nedhamson	nedhamson@campaign.openworlds.info	2022-12-14T00:00:00.000Z	2274	1598
50	110760383761728315	felipesiles	felipesiles@velhaestante.com.br	2023-07-22T00:00:00.000Z	0	0
51	109547714190061297	LangurLover	LangurLover@toot.wales	2022-12-18T00:00:00.000Z	458	329
52	109746356502816463	dominicvfx	dominicvfx@mountains.social	2023-01-24T00:00:00.000Z	116	168
53	109297901124722246	analogist	analogist@social.ridetrans.it	2022-11-03T00:00:00.000Z	320	776
54	109373375457207602	TucsonSentinel	TucsonSentinel@mastodon.tucsonsentinel.com	2022-11-19T00:00:00.000Z	182	2932
55	109276789924238203	diraquel	diraquel@masto.pt	2022-11-01T00:00:00.000Z	325	443
56	109274749275374235	cwebber	cwebber@octodon.social	2017-05-03T00:00:00.000Z	1756	10282
57	109283765406896771	joeycastillo	joeycastillo@mastodon.social	2018-01-05T00:00:00.000Z	603	2323
58	109309311426867474	zeitbot	zeitbot@muenchen.social	2018-11-02T00:00:00.000Z	1	4449
59	109291637059070291	gvwilson	gvwilson@mastodon.social	2022-10-28T00:00:00.000Z	88	1289
60	109488632066842069	jonny	jonny@neuromatch.social	2022-12-05T00:00:00.000Z	912	1007
61	109405844315180679	bobthetraveler	bobthetraveler@mastodon.world	2022-11-25T00:00:00.000Z	427	487
62	109538447312000913	carnage4life	carnage4life@mas.to	2022-12-19T00:00:00.000Z	221	11669
63	109379725999226551	ml	ml@ecoevo.social	2022-11-21T00:00:00.000Z	280	571
64	109441595034187914	dungeons	dungeons@mastodon.social	2022-11-16T00:00:00.000Z	3	2275
65	109428498682149678	jenniferwaltersdances	jenniferwaltersdances@shakedown.social	2022-11-19T00:00:00.000Z	167	163
66	109309218156971573	fuzzykb	fuzzykb@hachyderm.io	2022-10-28T00:00:00.000Z	174	380
67	109514200970969686	nedhamson	nedhamson@campaign.openworlds.info	2022-12-14T00:00:00.000Z	2274	1598
68	110760383761728315	felipesiles	felipesiles@velhaestante.com.br	2023-07-22T00:00:00.000Z	0	0
69	109547714190061297	LangurLover	LangurLover@toot.wales	2022-12-18T00:00:00.000Z	458	329
70	109746356502816463	dominicvfx	dominicvfx@mountains.social	2023-01-24T00:00:00.000Z	116	168
71	109297901124722246	analogist	analogist@social.ridetrans.it	2022-11-03T00:00:00.000Z	320	776
72	109373375457207602	TucsonSentinel	TucsonSentinel@mastodon.tucsonsentinel.com	2022-11-19T00:00:00.000Z	182	2932
73	109276789924238203	diraquel	diraquel@masto.pt	2022-11-01T00:00:00.000Z	325	443
74	109283765406896771	joeycastillo	joeycastillo@mastodon.social	2018-01-05T00:00:00.000Z	603	2323
75	109309311426867474	zeitbot	zeitbot@muenchen.social	2018-11-02T00:00:00.000Z	1	4449
76	109291637059070291	gvwilson	gvwilson@mastodon.social	2022-10-28T00:00:00.000Z	88	1289
77	109488632066842069	jonny	jonny@neuromatch.social	2022-12-05T00:00:00.000Z	912	1007
78	109405844315180679	bobthetraveler	bobthetraveler@mastodon.world	2022-11-25T00:00:00.000Z	427	487
79	109538447312000913	carnage4life	carnage4life@mas.to	2022-12-19T00:00:00.000Z	221	11669
80	109379725999226551	ml	ml@ecoevo.social	2022-11-21T00:00:00.000Z	280	571
81	109441595034187914	dungeons	dungeons@mastodon.social	2022-11-16T00:00:00.000Z	3	2275
82	109428498682149678	jenniferwaltersdances	jenniferwaltersdances@shakedown.social	2022-11-19T00:00:00.000Z	167	163
83	109309218156971573	fuzzykb	fuzzykb@hachyderm.io	2022-10-28T00:00:00.000Z	174	380
84	109514200970969686	nedhamson	nedhamson@campaign.openworlds.info	2022-12-14T00:00:00.000Z	2274	1598
85	110760383761728315	felipesiles	felipesiles@velhaestante.com.br	2023-07-22T00:00:00.000Z	0	0
86	109547714190061297	LangurLover	LangurLover@toot.wales	2022-12-18T00:00:00.000Z	458	329
87	109746356502816463	dominicvfx	dominicvfx@mountains.social	2023-01-24T00:00:00.000Z	116	168
88	109297901124722246	analogist	analogist@social.ridetrans.it	2022-11-03T00:00:00.000Z	320	776
89	109373375457207602	TucsonSentinel	TucsonSentinel@mastodon.tucsonsentinel.com	2022-11-19T00:00:00.000Z	182	2932
90	109283765406896771	joeycastillo	joeycastillo@mastodon.social	2018-01-05T00:00:00.000Z	603	2323
91	109309311426867474	zeitbot	zeitbot@muenchen.social	2018-11-02T00:00:00.000Z	1	4449
92	109291637059070291	gvwilson	gvwilson@mastodon.social	2022-10-28T00:00:00.000Z	88	1289
93	109488632066842069	jonny	jonny@neuromatch.social	2022-12-05T00:00:00.000Z	912	1007
94	109405844315180679	bobthetraveler	bobthetraveler@mastodon.world	2022-11-25T00:00:00.000Z	427	487
95	109538447312000913	carnage4life	carnage4life@mas.to	2022-12-19T00:00:00.000Z	221	11669
96	109379725999226551	ml	ml@ecoevo.social	2022-11-21T00:00:00.000Z	280	571
97	109441595034187914	dungeons	dungeons@mastodon.social	2022-11-16T00:00:00.000Z	3	2275
98	109428498682149678	jenniferwaltersdances	jenniferwaltersdances@shakedown.social	2022-11-19T00:00:00.000Z	167	163
99	109309218156971573	fuzzykb	fuzzykb@hachyderm.io	2022-10-28T00:00:00.000Z	174	380
100	109514200970969686	nedhamson	nedhamson@campaign.openworlds.info	2022-12-14T00:00:00.000Z	2274	1598
101	110760383761728315	felipesiles	felipesiles@velhaestante.com.br	2023-07-22T00:00:00.000Z	0	0
102	109547714190061297	LangurLover	LangurLover@toot.wales	2022-12-18T00:00:00.000Z	458	329
103	109746356502816463	dominicvfx	dominicvfx@mountains.social	2023-01-24T00:00:00.000Z	116	168
104	109297901124722246	analogist	analogist@social.ridetrans.it	2022-11-03T00:00:00.000Z	320	776
105	109283765406896771	joeycastillo	joeycastillo@mastodon.social	2018-01-05T00:00:00.000Z	603	2323
106	109309311426867474	zeitbot	zeitbot@muenchen.social	2018-11-02T00:00:00.000Z	1	4449
107	109291637059070291	gvwilson	gvwilson@mastodon.social	2022-10-28T00:00:00.000Z	88	1289
108	109488632066842069	jonny	jonny@neuromatch.social	2022-12-05T00:00:00.000Z	912	1007
109	109405844315180679	bobthetraveler	bobthetraveler@mastodon.world	2022-11-25T00:00:00.000Z	427	487
110	109538447312000913	carnage4life	carnage4life@mas.to	2022-12-19T00:00:00.000Z	221	11669
111	109379725999226551	ml	ml@ecoevo.social	2022-11-21T00:00:00.000Z	280	571
112	109441595034187914	dungeons	dungeons@mastodon.social	2022-11-16T00:00:00.000Z	3	2275
113	109428498682149678	jenniferwaltersdances	jenniferwaltersdances@shakedown.social	2022-11-19T00:00:00.000Z	167	163
114	109309218156971573	fuzzykb	fuzzykb@hachyderm.io	2022-10-28T00:00:00.000Z	174	380
115	109514200970969686	nedhamson	nedhamson@campaign.openworlds.info	2022-12-14T00:00:00.000Z	2274	1598
116	110760383761728315	felipesiles	felipesiles@velhaestante.com.br	2023-07-22T00:00:00.000Z	0	0
117	109547714190061297	LangurLover	LangurLover@toot.wales	2022-12-18T00:00:00.000Z	458	329
118	109746356502816463	dominicvfx	dominicvfx@mountains.social	2023-01-24T00:00:00.000Z	116	168
119	109283765406896771	joeycastillo	joeycastillo@mastodon.social	2018-01-05T00:00:00.000Z	603	2323
120	109309311426867474	zeitbot	zeitbot@muenchen.social	2018-11-02T00:00:00.000Z	1	4449
121	109291637059070291	gvwilson	gvwilson@mastodon.social	2022-10-28T00:00:00.000Z	88	1289
122	109488632066842069	jonny	jonny@neuromatch.social	2022-12-05T00:00:00.000Z	912	1007
123	109405844315180679	bobthetraveler	bobthetraveler@mastodon.world	2022-11-25T00:00:00.000Z	427	487
124	109538447312000913	carnage4life	carnage4life@mas.to	2022-12-19T00:00:00.000Z	221	11669
125	109379725999226551	ml	ml@ecoevo.social	2022-11-21T00:00:00.000Z	280	571
126	109441595034187914	dungeons	dungeons@mastodon.social	2022-11-16T00:00:00.000Z	3	2275
127	109428498682149678	jenniferwaltersdances	jenniferwaltersdances@shakedown.social	2022-11-19T00:00:00.000Z	167	163
128	109309218156971573	fuzzykb	fuzzykb@hachyderm.io	2022-10-28T00:00:00.000Z	174	380
129	109514200970969686	nedhamson	nedhamson@campaign.openworlds.info	2022-12-14T00:00:00.000Z	2274	1598
130	110760383761728315	felipesiles	felipesiles@velhaestante.com.br	2023-07-22T00:00:00.000Z	0	0
131	109547714190061297	LangurLover	LangurLover@toot.wales	2022-12-18T00:00:00.000Z	458	329
132	109283765406896771	joeycastillo	joeycastillo@mastodon.social	2018-01-05T00:00:00.000Z	603	2323
133	109309311426867474	zeitbot	zeitbot@muenchen.social	2018-11-02T00:00:00.000Z	1	4449
134	109291637059070291	gvwilson	gvwilson@mastodon.social	2022-10-28T00:00:00.000Z	88	1289
135	109488632066842069	jonny	jonny@neuromatch.social	2022-12-05T00:00:00.000Z	912	1007
136	109405844315180679	bobthetraveler	bobthetraveler@mastodon.world	2022-11-25T00:00:00.000Z	427	487
137	109538447312000913	carnage4life	carnage4life@mas.to	2022-12-19T00:00:00.000Z	221	11669
138	109379725999226551	ml	ml@ecoevo.social	2022-11-21T00:00:00.000Z	280	571
139	109441595034187914	dungeons	dungeons@mastodon.social	2022-11-16T00:00:00.000Z	3	2275
140	109428498682149678	jenniferwaltersdances	jenniferwaltersdances@shakedown.social	2022-11-19T00:00:00.000Z	167	163
141	109309218156971573	fuzzykb	fuzzykb@hachyderm.io	2022-10-28T00:00:00.000Z	174	380
142	109514200970969686	nedhamson	nedhamson@campaign.openworlds.info	2022-12-14T00:00:00.000Z	2274	1598
143	110760383761728315	felipesiles	felipesiles@velhaestante.com.br	2023-07-22T00:00:00.000Z	0	0
144	109283765406896771	joeycastillo	joeycastillo@mastodon.social	2018-01-05T00:00:00.000Z	603	2323
145	109309311426867474	zeitbot	zeitbot@muenchen.social	2018-11-02T00:00:00.000Z	1	4449
146	109291637059070291	gvwilson	gvwilson@mastodon.social	2022-10-28T00:00:00.000Z	88	1289
147	109488632066842069	jonny	jonny@neuromatch.social	2022-12-05T00:00:00.000Z	912	1007
148	109405844315180679	bobthetraveler	bobthetraveler@mastodon.world	2022-11-25T00:00:00.000Z	427	487
149	109538447312000913	carnage4life	carnage4life@mas.to	2022-12-19T00:00:00.000Z	221	11669
150	109379725999226551	ml	ml@ecoevo.social	2022-11-21T00:00:00.000Z	280	571
151	109441595034187914	dungeons	dungeons@mastodon.social	2022-11-16T00:00:00.000Z	3	2275
152	109428498682149678	jenniferwaltersdances	jenniferwaltersdances@shakedown.social	2022-11-19T00:00:00.000Z	167	163
153	109309218156971573	fuzzykb	fuzzykb@hachyderm.io	2022-10-28T00:00:00.000Z	174	380
154	109514200970969686	nedhamson	nedhamson@campaign.openworlds.info	2022-12-14T00:00:00.000Z	2274	1598
155	109283765406896771	joeycastillo	joeycastillo@mastodon.social	2018-01-05T00:00:00.000Z	603	2323
156	109309311426867474	zeitbot	zeitbot@muenchen.social	2018-11-02T00:00:00.000Z	1	4449
157	109291637059070291	gvwilson	gvwilson@mastodon.social	2022-10-28T00:00:00.000Z	88	1289
158	109488632066842069	jonny	jonny@neuromatch.social	2022-12-05T00:00:00.000Z	912	1007
159	109405844315180679	bobthetraveler	bobthetraveler@mastodon.world	2022-11-25T00:00:00.000Z	427	487
160	109538447312000913	carnage4life	carnage4life@mas.to	2022-12-19T00:00:00.000Z	221	11669
161	109379725999226551	ml	ml@ecoevo.social	2022-11-21T00:00:00.000Z	280	571
162	109441595034187914	dungeons	dungeons@mastodon.social	2022-11-16T00:00:00.000Z	3	2275
163	109428498682149678	jenniferwaltersdances	jenniferwaltersdances@shakedown.social	2022-11-19T00:00:00.000Z	167	163
164	109309218156971573	fuzzykb	fuzzykb@hachyderm.io	2022-10-28T00:00:00.000Z	174	380
165	109283765406896771	joeycastillo	joeycastillo@mastodon.social	2018-01-05T00:00:00.000Z	603	2323
166	109309311426867474	zeitbot	zeitbot@muenchen.social	2018-11-02T00:00:00.000Z	1	4449
167	109291637059070291	gvwilson	gvwilson@mastodon.social	2022-10-28T00:00:00.000Z	88	1289
168	109488632066842069	jonny	jonny@neuromatch.social	2022-12-05T00:00:00.000Z	912	1007
169	109405844315180679	bobthetraveler	bobthetraveler@mastodon.world	2022-11-25T00:00:00.000Z	427	487
170	109538447312000913	carnage4life	carnage4life@mas.to	2022-12-19T00:00:00.000Z	221	11669
171	109379725999226551	ml	ml@ecoevo.social	2022-11-21T00:00:00.000Z	280	571
172	109441595034187914	dungeons	dungeons@mastodon.social	2022-11-16T00:00:00.000Z	3	2275
173	109428498682149678	jenniferwaltersdances	jenniferwaltersdances@shakedown.social	2022-11-19T00:00:00.000Z	167	163
