account,name,link,keywords
@gbeaumier@sciences.social,Guillaume Beaumier,https://sciences.social/@gbeaumier,IPE; Regulatory politics; Global Governance; Digital tech; Privacy; Space; Blockchain;
@krause_we@fediscience.org,Werner Krause,https://fediscience.org/@krause_we,Comparative Politics; Radical Political Parties; Political Behavior
@AnneVanBavel@mastodon.social,Anne Van Bavel,https://mastodon.social/@AnneVanBavel,Gender & politics; gender-based violence; violence against women in politics
@hannahoorts@universeodon.com,Hannah Oorts,https://universeodon.com/@hannahoorts,representation; claim-making; performance; audience; performativity
@m_kemmerling@mastodon.social,Michael Kemmerling,https://mastodon.social/@m_kemmerling,Business Power; Digitalization; Platform Capitalism; Lobbying; Copyright Policy
@caterinafroio@mastodon.uno,Caterina Froio,https://mastodon.uno/@caterinafroio,Political conflict; Social movements; Digital media; Right-wing extremism & populism
@desrias@home.social,Enrique Desmond Arias,https://home.social/@desrias,Crime and violence in Latin America and the Caribbean; Comparative Politics
@martineznourdin@sciences.social,Christopher A. Martinez,https://sciences.social/@martineznourdin,presidential & executive politics; government crises; Latin America; comparative politics
@sarahengler@sciences.social,Sarah Engler,https://sciences.social/@sarahengler,Comparative Politics
@hagerali@sciences.social,Hager Ali,Https://sciences.social/@hagerali,Authoritarianism; regime stability; civil-military relations
@downeydavia@mastodon.world,Davia Downey,https://mastodon.world/@DowneyDavia,Federalism; Disaster Management; Urban Policy
@thchau@mastodon.world,Tak-Huen Chau,https://mastodon.world/@thchau,formal theory; comparative politics; behavior; social identity; nationalism; East Asia
@brueckmann@fediscience.org,G. Brückmann,Https://fediscience.org/@brueckmann,Energy policy; public acceptance; transport policy; climate policy; behaviour
@elinbja@mastodon.nu,Elin Bjarnegård,https://mastodon.nu/@elinbja,gender; institutions; authoritarianism; political violence; corruption; masculinities
@notstevenwhite@mastodon.social,Steven White,https://mastodon.social/@notstevenwhite,American political development; race and politics
@AntValentim@sciences.social,António Valentim,https://sciences.social/@AntValentim,Comparative politics: Political behaviour; political elites; environmental politics.
@Bram_Wauters@mastodon-belgium.be,Bram Wauters,https://mastodon-belgium.be/@Bram_Wauters,political parties; elections; diversity; participation
@patrick@sciences.social,Patrick Theiner,https://sciences.social/@patrick,international relations; comparative regionalism; global health; international sports
@sandersandrew@mastodon.scot,Andrew Sanders,https://mastodon.scot/@sandersandrew,Terrorism and Political Violence; Irish Politics; US politics
@IsabelLaterzo@mastodon.social,Isabel Laterzo,https://mastodon.social/@IsabelLaterzo,Comparative Politics; Violence & Public Security; Latin America; Mixed Methods
@helgej_@mas.to,Helge Jörgens,https://mas.to/@helgej_,environmental policy; climate policy; policy analysis; international public administration
@lenka_drazanova@sciences.social,Lenka Dražanová,https://sciences.social/@lenka_drazanova,Public opinion; attitudes formation; political socialization; quantitative methods
@sumitra@mstdn.social,Sumitra Badrinathan,https://mstdn.social/@sumitra,Misinformation; South Asia; Experiments; Political Behavior; Polarization
@owasow@mastodon.social,Omar Wasow,https://mastodon.social/@owasow,Race and Ethnic Politics
@cw_powi@mastodon.social,L. Constantin Wurthmann,https://mastodon.social/@cw_powi,Voting Behavior; Political Representation; LGBTQ; Coalition Preferences; Political Parties
@mmvanditmars@fediscience.org,Mathilde van Ditmars,https://fediscience.org/@mmvanditmars,political sociology; political behaviour; political socialization; gender & politics
@DylanODriscoll@sciences.social,Dylan O'Driscoll,https://sciences.social/@DylanODriscoll,Peace and Conflict
@nikolaschmidt@mastodon.world,Nikola Schmidt,https://mastodon.world/@nikolaschmidt,science and technology politics; global governance; space policy; planetary defense;
@Jessandtech@mastodon.social,Jessica Percy Campbell,https://mastodon.social/@Jessandtech,surveillance studies; privacy policy; AI; older adults; smart homes
@rnavarre@mastodon.social,Rachel Navarre,https://mastodon.social/@rnavarre,Populism; Immigration Policy; Europe; US
@alessandro_nai@mastodon.world,Alessandro Nai,https://mastodon.world/@alessandro_nai,political communication; political psychology; voting; persuasion; personality
@KlausGerdGiesen@mastodon.social,Klaus-Gerd Giesen,https://mastodon.social/@KlausGerdGiesen,International Relations; Political Theory; Ideologies; Ethics; Technology
@profmusgrave@mastodon.online,Paul Musgrave,https://mastodon.online/@profmusgrave,International relations; U.S. foreign policy
@piaraffler@sciencemastodon.com,Pia Raffler,https://sciencemastodon.com/@piaraffler,political economy of development; African politics; accountability & representation
@chris_claassen@mastodon.online,Chris Claassen,https://mastodon.online/@chris_claassen,public opinion; comparative politics; bayesian statistics
@RomanaCareja@fediscience.org,Romana Careja,https://fediscience.org/@RomanaCareja,migration; institutions; comparative policies; attitudes
@madsejsing@mastodon.world,Mads Ejsing,https://mastodon.world/@madsejsing,Political theory; environmental politics; climate justice; new materialism; Anthropocene
@lucasleemann@mastodon.online,Lucas Leemann,https://mastodon.online/@lucasleemann,Comparative Politics
@GreenLeftHand@nerdculture.de,Valerie Lawson-Last,https://nerdculture.de/@GreenLeftHand,German politics; the left; class; German Left Party (Linkspartei)
@maxheermann@eupolicy.social,Max Heermann,https://eupolicy.social/@maxheermann,European integration; digital policy; public opinion; lobbying
@decustecu@mstdn.social,Dominik Stecula,https://mstdn.social/@decustecu,political communication; political behavior; political psychology; science communication
@seimel@eupolicy.social,Armin Seimel,https://eupolicy.social/@seimel,Interested in behaviour particularly attitudes towards the EU an democratic governance
@KatyRob@sciences.social,Katy Robinson,https://sciences.social/@KatyRob,International relations; civil war; terrorist; insurgent; rebel groups; political violence
@katadeney@mastodonapp.uk,Katharine Adeney,https://mastodonapp.uk/@katadeney,India; Pakistan; South Asia; Federalism; Majoritarianism; Democracy; EDI; ethnic politics
@julietp83@ohai.social,Giulia Piccolino,https://ohai.social/@julietp83,Peacebuilding; politics after conflict; stabilization; West Africa; rebel governance
@macartan@sciences.social,Macartan Humphreys,https://sciences.social/@macartan,Political inequality; political economy of development; research methods; violence
@AndreaFelicetti@mastodon.uno,Andrea Felicetti,https://mastodon.uno/@AndreaFelicetti,Democracy; Social Movements; Governance; Deliberation; Participation
@jelkink@mastodon.ie,Jos Dornschneider-Elkink,https://mastodon.ie/@jelkink,quantitative methods; computational social science; network analysis; spatial econometrics
@trcook@fediscience.org,Thomas R. Cook,https://fediscience.org/@trcook,Political Economy; International Relations; Central Banking; Applied ML Methodology
@dhnexon@sciences.social,Dan Nexon,https://sciences.social/@dhnexon,international order; state formation; power politics
@LMayka@mastodon.online,Lindsay Mayka,https://mastodon.online/@LMayka,comparative politics; Latin America; social movements;  public policy; urban politics
@tkumar@econtwitter.net,Tanu Kumar,https://econtwitter.net/@tkumar,urban politics; development; Indian politics
@pguasta@lile.cl,Piero Guasta,https://lile.cl/@pguasta,International Relations; Digital Trade; Data Privacy and Asia
@dnh@techhub.social,"Nola Haynes, Ph.D, M.Div",https://techhub.social/@dnh,International Relations; Security Studies; threats; arms control & international security
@jeffcarter@mastodon.social,Jeff Carter,https://mastodon.social/@jeffcarter,international relations; interstate conflict; political leaders; peace science
@msaeltzer@nerdculture.de,Marius Sältzer,https://nerdculture.de/@msaeltzer,Computational Social Science; parties; ideal point estimation; social media data
@victor_asal@c.im,Victor Asal,https://c.im/@victor_asal,Non-state actor political violence; Political Discrimination; Interactive Pedagogy
@nickansteas@mastodonapp.uk,Nick Anstead,https://mastodonapp.uk/@nickanstead,Political communications; elections; institutionalism
@sofiaammassari@mastodon.au,Sofia Ammassari,https://mastodon.au/@sofiaammassari,Populist radical right; party membership; gender and party politics
@dnaseemullah@mastodon.social,Dann Naseemullah,https://mastodon.social/@dnaseemullah,comparative politics; South Asia; development; violence; colonial legacies; populism
@patrickmello@sciences.social,Patrick A. Mello,https://sciences.social/@patrickmello,International security; foreign policy analysis; Qualitative Comparative Analysis (QCA)
@javiermcanto@mastodon.social,Javier Martínez-Cantó,https://mastodon.social/@javiermcanto,Comparative politics; Political Parties; Representation; Legislative behavior; Federalism
@llewelyn_hughes@mastodon.green,Llewelyn Hughes,https://mastodon.green/@llewelyn_hughes,energy transition; political economy
@mwosnitz@econtwitter.net,Max A. Wosnitza,https://econtwitter.net/@mwosnitz,state building; climate change; social change; natural disaster adaptation; risk; conflict
@damlakeskekci@sciences.social,Damla Keşkekci,https://sciences.social/@damlakeskekci,Political sociology; social movements; far-right; Western Europe; text analysis
@andreapirro@mastodon.social,Andrea Pirro,https://mastodon.social/@andreapirro,far right; populism; Euroscepticism; party politics; social movements
@AElliotPR@eupolicy.social,Adrian Elliot,https://eupolicy.social/@AElliotPR,Latin American Politics; UK; Spain; Brexit; EU institutions; international relations
@cqschneider@fediscience.org,Carsten Q. Schneider,https://fediscience.org/@cqschneider,Political regime change; comparative methods; Qualitative Comparative Analysis (QCA)
@mikesalamone@sciences.social,Michael Salamone,https://sciences.social/@mikesalamone,American politics; judicial politics
@HFayet@bagarrosphere.fr,Héloïse Fayet,https://bagarrosphere.fr/@HFayet,Nuclear weapons; deterrence; nuclear proliferation; Middle Eastern politics; intelligence
@FredericMerand@sciences.social,Frederic Merand,https://sciences.social/@FredericMerand,International relations; comparative politics; European Union
@tkveberg@infosec.exchange,Torbjørn Kveberg,https://infosec.exchange/@tkveberg,national security; cyber security; cyber operations; influence; propaganda
@WilliamJKelleher@sciences.social,"William J. Kelleher, PhD",https://sciences.social/@WilliamJKelleher,Interpretation; Mixed methods; Interpretive Methods; Anti-Positivism; Comparative Politics
@ozerthinking@fosstodon.org,Adam Ozer,https://fosstodon.org/@ozerthinking,Political behavior; mass media; communication; psychology; and experimental methodology.
@rikefranke@bagarrosphere.fr,Ulrike Franke,https://bagarrosphere.fr/@rikefranke,International security; EU politics; European defence policy; German defence policy
@SimonPersico@mastodon.top,Simon Persico,https://mastodon.top/@SimonPersico,environment; elections; parties; agenda setting
@ptrckflmm@fediscience.org,Patrick Flamm,https://fediscience.org/@ptrckflmm,International Relations; Environment and Security in the Anthropocene; Polar Geopolitics.
@Na_Wehl@sciences.social,Nadja Wehl,https://sciences.social/@Na_Wehl,Political Attitudes&Behaviour; Perceptions; Socializazion; Inequality; Causal Inference
@acpacek@mastodon.social,Alexander Pacek,https://mastodon.social/@acpacek,Mass Political Behavior
@shmorell@sciences.social,Sara Morell,https://sciences.social/@shmorell,American Politics; Gender; Political Behavior
@ben_guinaudeau@mstdn.social,Benjamin Guinaudeau,https://mstdn.social/@ben_guinaudeau,Legislative;Online Behaviour;CSS;Political methodology;European
@annebind@fediscience.org,Anne Binderkrantz,https://fediscience.org/@annebind,interest groups; influence; corporations; political elites; teaching evaluations
@egocantos@mastodon.social,Ezequiel Gonzalez-Ocantos,https://mastodon.social/@egocantos,Judicial Politics; Law and Society; Transitional Justice; Corruption; Latin America
@MateuszWajzer@techhub.social,Mateusz Wajzer,https://techhub.social/@MateuszWajzer,rational choice theory; politics and biology; modelling
@OpenlyBiased@mastodon.social,Dr. Leandra Bias,https://mastodon.social/@OpenlyBiased,Authoritarianism
Feminism
Foreign policy
Social movements
Russia
Western Balkans
@gehlbach@econtwitter.net,Scott Gehlbach,https://econtwitter.net/@gehlbach,Autocracy; HPE; Eurasia
@ophiryotam@mastodon.social,Dr. Yotam Ophir,Http://mastodon.social/@ophiryotam,Political Communication
@fsolt@mastodon.social,Frederick Solt,https://mastodon.social/@fsolt,comparative politics; inequality; democracy; public opinion; computational social science
@anthlittle@econtwitter.net,Andrew Little,https://econtwitter.net/@anthlittle,Formal theory; political behavior; comparative politics
@gwagner@fediscience.org,Gernot Wagner,https://fediscience.org/@gwagner,climate change; climate policy
@tonirodon@kfem.cat,Toni Rodon,https://kfem.cat/@tonirodon,Political Behaviour; Comparative Politics; Historical Political Economy
@cdcrabtree@mstdn.social,Charles Crabtree,https://mstdn.social/@cdcrabtree,Discrimination; American politics; Japanese politics
@icjohnson@sciences.social,Isaiah Johnson,https://sciences.social/@icjohnson#,Race and Ethnic Politics; Political Behavior; Formal and Quantitative Methods
@AndrewCrines@mastodon.world,Andrew S. Roe-Crines,https://mastodon.world/@AndrewCrines,Political Communication; Rhetorical Theory; Leadership Studies; Parties/Governance.
@GeorgeKyris@sciences.social,George Kyris,https://sciences.social/@GeorgeKyris,Conflict; international organisations; sovereignty; recognition
@Deshdeep@sciences.social,Deshdeep Dhankhar,https://sciences.social/@Deshdeep,Democracy; Political Behaviour & Electoral Accountability
@cervas@mastodon.world,Jonathan Cervas,https://mastodon.world/@cervas,American politics
@jwes@mas.to,Wes Hutto,https://mas.to/@jwes,Security studies; IR; regional powers; drones; military strategy
@soerendamsbo@econtwitter.net,Søren Damsbo-Svendsen,https://econtwitter.net/@soerendamsbo,Political behavior; climate change; public opinion; causal inference
@AnneRasmussen@fediscience.org,Anne Rasmussen,https://fediscience.org/@AnneRasmussen,Lobbying | Representation | Public Opinion & Policy | Gender | Parties | Social Media
@RomainLachat@sciences.social,Romain Lachat,https://sciences.social/@RomainLachat,Elections; Public Opinion; Representation; Electoral systems
@HaasVioleta@sciences.social,Violeta Haas,https://sciences.social/@HaasVioleta,policial behavior; social norms; LGBTQ+ rights
@jeromedrev@mas.to,Jerome Drevon,https://mas.to/@jeromedrev,Civil wars; political violence; jihadi groups; insurgencies
@emineari@mastodon.world,Emine Ari,https://mastodon.world/@emineari,inter-state and intra-state conflict; political violence; state of emergencies
@DrJoyZhang@sciences.social,Joy Y Zhang,Https://sciences.social/@drjoyzhang,Science diplomacy; global governance; social movement; Global South
@fatiherol@mastodon.world,Fatih Erol,https://mastodon.world/@fatiherol,political behavior; political psychology; experimental research
@rgomez@home.social,Raul Gomez,https://home.social/@rgomez,Electoral behaviour; public opinion; Comparative Politics; Radical Left Parties
@GiuliaSciorati@mastodon.uno,GiuliaSciorati,https://mastodon.uno/@GiuliaSciorati,International Relations
@kevinkoehler@mastodon.online,Kevin Koehler,https://mastodon.online/@kevinkoehler,comparative politics; security; MENA; political elites; coups d'état; regime change
@abbamouse@sciences.social,Jeffrey DIxon,https://sciences.social/@abbamouse,IR; Conflict Studies; Conflict Data; Civil Wars; Politics of Literature
@gregcsheen@econtwitter.net,Greg Chih-Hsin Sheen,https://econtwitter.net/@gregcsheen,political communication; experiments; formal theory; authoritarianism
@rmcpsci@mstdn.jp,Lauren C. Bell,https://mstdn.jp/@rmcspci,Congress; legislative procedure; judicial nominations; filibusters and obstruction
@jasperkauth@sciences.social,Jasper T Kauth,https://sciences.social/@jasperkauth,comparative politics; IR; migration; illiberalism; state theory
@PetiaKostadinova@mastodon.world,Petia Kostadinova,https://mastodon.world/@PetiaKostadinova,European Union; comparative institutions; democratic representation
@box@sciences.social,Daniel Bochsler,https://sciences.social/@box,Elections; democracy; institutions; ethnic politics; Central and Eastern Europe.
@criticalcanadians@socialism.social,Critical Canuck,https://socialism.social/@criticalcanadians,Ethnic politics; civil conflict; far-right extremism; comparative; IR; security studies
@LBenabdallah@sciences.social,Lina Benabdallah,https://sciences.social/@LBenabdallah,International Relations; Global South; China-Africa
@cczymara@sciences.social,Christian Czymara,http://sciences.social/@cczymara,Immigration; attitudes; political communication
@dorssom@polisci.network,Elizabeth Dorssom,https://polisci.network/@dorssom,focus: American Political economy and political institutions
@jvtk@eupolicy.social,Jens van 't Klooster,Https://eupolicy.social/@jvtk,Political economy; normative theory
@nenaoana@sciences.social,Ioana-Elena Oana,https://sciences.social/@nenaoana,Political Behavior; EU and crisis politics; QCA; text as data; survey experiments
@blakemiller@sciences.social,Blake Miller,https://sciences.social/@blakemiller,Methodology; China; information control; political communication; authoritarian politics
@Jakobschwoerer@det.social,Jakob Schwörer,https://det.social/@Jakobschwoerer,Party Politics; Populism; Nativism; Religion; Environmental Politics; Western Europe;
@afouxenidis@mastodon.world,Alex Afouxenidis,https://mastodon.world/@afouxenidis,civil society; social movements; political sociology
@Electionsmith@mastodon.online,Daniel Smith,https://mastodon.online/@Electionsmith,voting; elections; direct democracy; American state politics; Florida
@DetersHenning@eupolicy.social,Henning Deters,https://eupolicy.social/@DetersHenning,European Union; judicial politics; European Court of Justice; environment
@melovell@sciences.social,Melissa Lovell,https://sciences.social/@melovell,Australian Politics. Social Policy. Citizenship. Anti-Racism.
@chadmbriggs@climatejustice.rocks,Chad M Briggs,https://climatejustice.rocks/@chadmbriggs,Climate security; energy policy; disinformation; cyber security; Ukraine; Kosovo; Arctic
@58mph@masthead.social,Brett Heindl,https://masthead.social/@58mph,Human rights; global migration; international organizations
@mpaarlberg@mastodon.cloud,Michael Paarlberg,https://mastodon.cloud/@mpaarlberg,Latin American politics; international migration; security
@ahomolar@mastodon.nz,Alex Homolar,https://mastodon.nz/@ahomolar,International Relations; International Security; Political Psychology; Communication
@ProfStevenSmith@mstdn.social,Steven S Smith,https://mstdn.social/@ProfStevenSmith,American politics; Congress; public opinion
@nickbednar@sciences.social,Nick Bednar,https://sciences.social/@nickbednar,American Institutions; Bureaucratic Politics; Public Law
@primetek@twit.social,@primetek@twit.social,Https://twit.social/@primetek,Political philosophy; intenl human rights; intrnl relations; intrnl political economy
@clement@sciences.re,Clément Steuer,https://sciences.re/@clement,MENA politics; party politics; party systems; social cleavages
@dedmon@mastodon.social,J Michael Dedmon,https://mastodon.social/@dedmon,European Politics & Political Economy
@dpolisciprof@mas.to,Casey Dominguez,HTTPS://mas.to/@dpolisciprof#,American politics; political parties; presidency
@carmen_wunderlich@sciences.social,Carmen Wunderlich,Https://sciences.social:@carmen_wunderlich,IR; Peace & Conflict Studies; norm research; contestation; nuclear weapons; disarmament
@simonjackman@aus.social,Simon Jackman,https://aus.social/@simonjackman,elections; public opinion; NLP; machine learning
@vtsagkr@sciences.social,Vasiliki (Billy) Tsagkroni,https://sciences.social/@vtsagkr,Far-right; Populism; Political Discourse; Radicalisation; Crisis; Democracy
@DrJonLubin@mstdn.party,Jonathan Lubin,https://mstdn.party/@DrJonLubin,Local and Regional Governance; Urban Affairs; Transportation
@GemaGarcia@mastodon.social,Gema Garcia-Albacete,https://mastodon.social/@GemaGarcia,Political behavior; inequalities; gender and politics; youth politics
@gholliba@mastodon.social,Gary Hollibaugh,https://mastodon.social/@gholliba,American institutions; executive politics; public administration; personality psychology
@carolineleicht@mastodon.world,Caroline Leicht,https://mastodon.social/@carolineleicht,gender and politics; political communication; political satire; elections; US politics
@ddriver@mas.to,Darrell Driver,https://mas.to/@ddriver,Security Studies; European Security; Civil Military Relations; NATO; Alliances
@ProfMichelson@mastodon.social,Melissa R. Michelson,https://mastodon.social/@ProfMichelson,Latino Politics; LGBTQ Politics; Political Behavior (participation); Political Psychology
@mjinpedersen@fediscience.org,Mogens Jin Pedersen,https://fediscience.org/@mjinpedersen,public administration; bureaucracy; behavior
@paulgowder@recurse.social,Paul Gowder,https://recurse.social/@paulgowder,Political theory; public law; rule of law
@leahchristiani@mastodon.social,Leah Christiani,https://mastodon.social/@leahchristiani,Behavior; American politics; race and ethnicity
@AlexBlanchet@mastodon.world,Alexandre Blanchet,https://mastodon.world/@AlexBlanchet,Political psychology; political behaviour; elections; Quebec politics; Canadian Politics
@ingorohlfing@mastodon.social,Ingo Rohlfing,https://mastodon.social/@ingorohlfing,Political methodology; causal inference; mixed methods; process tracing; QCA
@bowendc@mastodon.social,Dan Bowen,https://mastodon.social/@bowendc,American state politics; legislative institutions; representation; political geography
@JamieFurlong@mas.to,Jamie Furlong,https://mas.to/@JamieFurlong,politics and urbanism; voting; polling; environmental policy
@mrzander@mastodon.xyz,Alexander (Zander) Furnas,https://mastodon.xyz/@mrzander,American political institutions; Science; Information; Elites
@bdmabrams@mstdn.social,Benjamin Abrams,https://mstdn.social/@bdmabrams,revolutions; resistance; social movements; democracy; mobilization; comparative politics
@samuelgreef@sciences.social,Samuel Greef,https://sciences.social/@samuelgreef,german politics; digital politics; interest groups; policy analysis; governance
@derekholliday@fediscience.org,Derek Holliday,https://fediscience.org/@derekholliday,state and local politics; representation; methodology
@BowTiePolitics@sciences.social,Dr. Michael Bitzer,https://sciences.social/@BowTiePolitics,United States politics; North Carolina politics; Southern US politics
@fabioangiolillo@mastodon.social,Fabio Angiolillo,https://mastodon.social/@fabioangiolillo,Comparative politics; autocracies; political parties; quant methods
@simonweschle@sciences.social,Simon Weschle,https://sciences.social/@simonweschle,comparative politics; democratic representation and accountability; money in politics
@NateCarrington@mastodon.world,Nathan Carrington,https://mastodon.world/@NateCarrington,Judicial Politics; American Politics; Political Psychology; Freedom of Expression
@annehellmuthhaeuser@mastodon.world,Anne Hellmuthhäuser,https://mastodon.world/@annehellmuthhaeuser,technology; digital sovereignty; international relations; China; Russia; Iran; EU
@HansenMagnusson@sciences.social,Hannes Hansen-Magnusson,https://sciences.social/@HansenMagnusson,International Relations; Global Governance; Oceans; Polar Regions; Responsibility; Justice
@amozhor@sciences.social,Amoz JY Hor,https://sciences.social/@amozhor,Race and International Relations
@Tom_Pavone@eupolicy.social,Tommaso Pavone,https://eupolicy.social/@Tom_Pavone,European politics; comparative politics; law & society; judicial politics; qual methods
@strauszm@fediscience.org,Michael Strausz,https://fediscience.org/@strauszm,Japan; immigration; refugees; asylum; migration
@lpargyle@sciences.social,Lisa Argyle,https://sciences.social/@lpargyle,Political Conversation; Computational Social Science; Political Behavior
@NickAnguelov@fediscience.org,Nikolay Anguelov,https://fediscience.org/@NickAnguelov,Public Policy; Globalization; Sustainability; International Political Economy;
@AObendiek@sciences.social,Anke Obendiek,https://sciences.social/@AObendiek,data and internet governance; big tech; and international political sociology.
@ariel_zellman@sciences.social,Ariel Zellman,https://sciences.social/@ariel_zellman,territorial conflict; religion; nationalism; extremism
@libertychee@mastodon.sdf.org,Liberty Chee,https://mastodon.sdf.org/@libertychee,International Relations; Domestic Work; Migration Governance; Feminist Theory; STS
@dmpullan@toot.community,Danielle Pullan,https://toot.community/@dmpullan,abortion policy; reproductive justice; gendered political careers; policy implementation
@FlorianFoos@econtwitter.net,Florian Foos,https://econtwitter.net/@FlorianFoos,Political Behavior; Field Experiments; Causal Inference; GOTV; Persuasion
@anne_kreft@sciences.social,Anne-Kathrin Kreft,https://sciences.social/@anne_kreft,Armed conflict; political violence; sexual violence; gender; civil society
@hanshtung@econtwitter.net,Hans Tung,https://econtwitter.net/@hanshtung,political economy; comparative authoritarianism; China
@AndreaGhiselliChina@sciences.social,Andrea Ghiselli,https://sciences.social/@AndreaGhiselliChina,China; Middle East; Foreign policy analysis; IR theory; authoritarian foreign policy
@LeoAzzollini@sciences.social,Leo Azzollini,https://sciences.social/@LeoAzzollini,Political Behaviour; Voting; Political Sociology
@c_west@mastodon.social,Carola Westermeier,https://mastodon.social/@c_west,Intersections of International Political Economy and Security Studies
@osman_s_kiratli@fediscience.org,Osman Sabri Kiratli,https://fediscience.org/@osman_s_kiratli,Public opinion on foreign policy; International Relations; International Organizations
@xromerovidal@sciences.social,Xavier Romero Vidal,https://sciences.social/@xromerovidal,Public Opinion; Comparative Politics; Political Behaviour; Political Parties
@DanielCasey_CBR@aus.social,Daniel Casey,https://aus.social/@DanielCasey_CBR,Policy agendas; agenda setting; responsiveness; public opinion; punctuated equilibrium
@NvOndarza@eupolicy.social,Nicolai von Ondarza,https://eupolicy.social/@NvOndarza,European Union governance; EU institutions; European parties; EU-UK relations; Brexit
@rbernhard@mstdn.party,Rachel Bernhard,https://mstdn.party/@rbernhard,Political behavior; gender and politics; political psychology; discrimination
@DrSeanHanley@mastodon.social,Seán Hanley,https://mastodon.social/@DrSeanHanley/with_replies,Central & Eastern Europe; Czechia; parties; democracy; comparative autocratisation
@ThomasMeyer@mastodon.social,Thomas Meyer,https://mastodon.social/@ThomasMeyer,Institions; parties; elections; coalition governments
@RGrundmann@mastodon.world,Reiner Grundmann,https://mastodon.world/@RGrundmann,Experts and expertise; climate change; computational social science
@seramirezruiz@fediscience.org,Sebastian Ramirez-Ruiz,https://fediscience.org/@seramirezruiz,political behavior and communication; causal inference; use of evidence in decision-making
@hylkedijkstra@mastodon.social,Hylke Dijkstra,https://mastodon.social/@hylkedijkstra,international relations; international organizations; multilateralism; EU; security
@M_punkt_S@mastodon.social,Maximilian Schiffers,https://mastodon.social/@M_punkt_S,interest groups; lobbying; NGOs; Public Policy; Policy Change; Transformation
@ChRauh@eupolicy.social,Christian Rauh,https://eupolicy.social/@ChRauh,European Union; International Politics; Comparative Politics; Text Analysis; R;  DataViz
@phdskat@fediscience.org,Rasmus Corlin Christensen,https://fediscience.org/@phdskat,International political economy; taxation; green accounting
@alice_mattoni@mastodon.uno,Alice Mattoni,https://mastodon.uno/@alice_mattoni,social movements; corruption; political participation; digital media; qualitative methods
@anacweeks@fediscience.org,Ana Catalano Weeks,https://fediscience.org/@anacweeks,Gender and politics; political parties; representation; public policy
@peteraallen@sciences.social,Peter Allen,https://sciences.social/@peteraallen,Political representation; British Politics; Gender and Politics
@jennifer_bast@sciences.social,Jennifer Bast,https://sciences.social/@jennifer_bast,focus: political communication; visual communication; social media; populism; gender
@RainerMuehlhoff@chaos.social,Rainer Mühlhoff,https://chaos.social/@RainerMuehlhoff,Societal impact of AI; privacy & data protection; political philosophy of digital tech
@KarinaKosPed@sciences.social,Karina Kosiara-Pedersen,https://sciences.social/@KarinaKosPed,Party; Elections; Gender; Youth; Campaigning; Political Violence
