Timestamp,What name do you want to be listed by?,What is your Mastodon handle (@user@instance.name)?,Do you have a Twitter handle you would like to share? (This can help people you know on Twitter to find you on Mastodon),"What are your main areas of specialization or interest (legal theory, tort law, international tax, etc.)?",Jurisdictions of interest?,Other info for short self-description,"If another list of Mastodon accounts is created that overlaps with those interested in law is created, may we share the info here with that list?"
11/1/2022 0:16:58,Ramya Chandrasekhar,@rumya@mastodon.social,@chandra_rums,"biometrics, critical data studies, law","India, EU, US",Biometric Regulatory Fellow @ Berkeley Centre for Law and Tech. ,Yes

11/1/2022 2:04:28,Andrea Matwyshyn,@andreamm@mastodon.social,@amatwyshyn,"technology law, information security, disinformation, AI/ML regulation, consumer protection",,law professor and engineering professor at Penn State,Yes

11/1/2022 2:11:21,Kat Walsh,@mindspillage@mastodon.social,mindspillage,"copyright/licensing, internet policy, in-house",USA,"GC, Creative Commons",Yes

11/1/2022 2:28:55,Andreas Wagner,@anwagnerdreas@mstdn.social,@anwagnerdreas,"Legal History, Legal Theory, Digital Humanities",,I am Digital Humanities Coordinator at mpilhlt,Yes

11/1/2022 3:09:53,Carey Lening,@privacat@freeradical.zone,@privacat,Data protection/privacy law,"EU, US",Recovering lawyer (US) now living and working in the EU as a data protection consultant. Much happier as a result. ,Yes

11/1/2022 4:26:34,Rachel Griffin,@rachelgriffin@eupolicy.social,@rachel_grfn,"Platform regulation, digital justice",EU,,Yes

11/1/2022 4:58:31,Aram Sinnreich,@aramsinn@mastodon.social,@aram,"Intellectual property, internet governance, privacy",USA,"Chair of Comm Studies at American U in DC. Author of ""The Essential Guide to Intellectual Property"" (Yale, 2019).",Yes

11/1/2022 5:26:45,Georg Kleine,@Veraendert@mastodon.social,@GeorgKleine,Data protection law,"German, US, UK",,Yes

11/1/2022 7:48:28,Marthe Goudsmit,@marthegoudsmit@mastodon.social,@marthegoudsmit,"legal theory, criminal law, sexual offences, feminist theory",,,Yes

11/1/2022 9:01:08,Bob McWilliams,@Radiobob@mstdn.social,@radiobobkansas,Legal and constitutional history,United States,"Harvard Law; US dist. Judge clerkship. Career in public radio, US History prof",Yes

11/1/2022 12:50:18,John Quentin Heywood,@jqheywood@mastodon.social,@jqheywood,"International Law, LOAC, Human Rights, Legal History, Law via the Internet","US, UK","Associate Professor/Law Librarian, American University Washington College of Law",Yes

11/1/2022 13:47:04,Jeff Dobbins,@jdobbins@mastodon.online,@sjdprods,"Civil Procedure, Appellate practice",All U.S. jurisdictions ,"Associate Dean / Academic Affairs, ",Yes

11/1/2022 17:59:34,Lilian Edwards,@Surliminal@mastodon.social,@lilianedwards,"Internet law, AI & law, data protection, privacy, AI and law, ","UK, EU, US","Edinburgh / Newcastle academic, UK",Yes

11/1/2022 18:24:19,Isra Black,@israblack@someone.elses.computer,@israblack,"health law, normative jurisprudence, moral/political/legal philosophy, human rights","England & Wales, ECHR, anywhere assisted death is lawful",Iâm a Lecturer in Health Law at UCL Faculty of Laws,Yes

11/1/2022 22:43:36,Jody Sanders,@jodyssanders@mastadon.social,@jodyssanders,Appellate/litigation ,TX/federal,,Yes

11/2/2022 2:25:37,Mattis van 't Schip,@mattis@eupolicy.social,mattisvantschip,"Cybersecurity law, Privacy law, Freedom of speech","EU, US",PhD student at Radboud University,Yes

11/2/2022 3:01:03,Suzanne Vergnolle,@SuVergnolle@mastodon.social,@SuVergnolle,"Data protection, privacy, technology law ","Europe, France, US ","Associate Professor (MCF) in Technology Law @lecnam. All about Digital Rights, Personal Data,Privacy, AI & Open Data. ð² & parfois Ballerina. ",Yes

11/2/2022 6:00:39,Guido Noto La Diega,@guidonld@mastodon.social,@guidonld,"Law & Innovation, Intellectual Property, Information Technology Law, European Private Law, Data Governance","Europe, UK, Italy","An award-winning law academic with a passion for the legal of emerging technologies, Dr Guido Noto La Diega is an Associate Professor of Intellectual Property and Privacy Law at the University of Stirling, where they are the Coordinator of the Royal Society of Edinburgh Network SCOTLIN (Scottish Law and Innovation Network); Deputy Chair of the Equality, Diversity, and Inclusion Committee; and carry out research at the Centre for Research into Information, Surveillance & Privacy (CRISP). Guidoâs work is animated by the conviction that the law should steer the development of technologies in a socially just, human-centric, and sustainable direction. Combining socio-legal methods and doctrinal private law approaches honed thanks to a PhD (Unipa), a postdoc (QMUL), and an HEA Fellowship, Guido has developed an expertise in IoT, machine learning, cloud computing, robotics, and blockchain. Their focus tends to be on the intellectual property, consumer protection, data governance, and human rights issues in these technologies. Guido is the author of Internet of Things and the Law: Legal Strategies for Consumer-Centric Technologies (Routledge 2022) and, building on some ideas developed in the book, they have been awarded a half-a-million grant by the Arts and Humanities Research Council and the German Research Foundation for the project âFrom Smart Technologies to Smart Consumer Laws. Comparative Perspectives from Germany and the UKâ (2022-2025). Outwith Stirling, Guido is working on the development of ethical guidelines on âEdAIâ as a member of the European Commissionâs Expert Group on AI and Data in Education and Training. Additionally, they are a Fellow of the Nexa Center for Internet and Society, a Research Associate at UCL Centre for Blockchain Technologies, as well as the Co-Convenor of the Open Section of the Society of Legal Scholars, the oldest and largest society of law academics in the UK and the Republic of Ireland.",Yes

11/2/2022 12:11:58,Andy AydÄ±n-Aitchison,@Andy8chi@mastodon.social,@Andy8chi,"Criminology, Atrocity Crime, Policing, Democracy, Human Rights","Bosnia and Herzegovina, International, UK, Scotland",Criminologist at University of Edinburgh School of Law,Yes

11/2/2022 19:25:38,James Hand,@jamesahand@mas.to,@jamesahand,"Equality Law, Employment Law, Constitutional Law, Tort","England and Wales, others",Reader in Law at UK university,Yes

11/2/2022 21:23:23,Anil Kalhan,@kalhan@mastodon.social,@kalhan,"Immigration law, US and comparative constitutional law, privacy and surveillance, international human rights, South Asian legal studies","US, South Asia","Professor of Law, Drexel University (Philadelphia, US)",Yes

11/2/2022 22:36:07,Catherine Morris,@cmorris@mastodon.social ,@CatherineMorris,International human rights,,"Independent research, education and advocacy on international human rights, peacebuilding ",Yes

11/3/2022 9:58:31,Carissa Byrne hessick,@CBHessick@mstdn.social,@CBHessick,criminal law,,Law professor at the University of North Carolina and Director of the Prosecutors and Politics Project,Yes

11/3/2022 15:05:21,Antman,@arg11@mastodon.social,,"Law Student, environmental, food law and policy","10th Circuit, Colorado, D.C. Circuit",,Yes

11/3/2022 16:34:16,Panayotis Yannakas,@pyannakas@mstdn.social,@PYannakas,Tort Law ,Cyprus & Common Law,,Yes

11/3/2022 22:05:44,Heidi Kitrosser,@heidikitrosser@c.im,@heidikitrosser,"constitutional law, first amendment, presidential power",,,Yes

11/3/2022 22:30:44,Jed Shugerman,@Jedshug@mastodon.social,@jedshug,"Legal history, Admin, Torts",United States,,Yes

11/3/2022 23:05:24,Richard Heppner,@RLHeppner@mastodon.lawprofs.org,@RLHeppner,"Civ Pro, #AppellateTwitter, Law and Literature","Pennsylvania, Third Circuit",Assistant Professor teaching #CivPro @DuqKlineLaw. Former #AppellateTwitter Attorney @ReedSmithLLP. English PhD. ,Yes

11/3/2022 23:44:09,Maybell Romero,@maybellromero@mastodon.social,@MaybellRomero,"Criminal law, criminal procedure, rurality, sexual assault ",,"Felder-Fayard Assoc. Prof. @TulaneLaw. I write on crim law, crim pro, rural legal systems, and sexual assault. #lawtina #firstgen",Yes

11/3/2022 23:52:46,Katrina Lee,@katrinalee@mastodon.social,@katrinajunelee,"Dispute Resolution, business of law, legal writing ",,,Yes

11/4/2022 0:42:56,David Friedman,@profdaf@mas.to,@profdaf,"Consumer law, legal Ed, torts",Oregon ,Willamette,Yes

11/4/2022 0:54:29,Victoria J. Haneman,@taxlawprof@mstdn.social,TaxLawProf,"Tax; Wills, Trusts & Estates; ",,"Law prof (death + tax law), lover of innovation + disruption, foodie, mother to a little human and 2 dachshunds
.
On Twitter and TikTok  @taxlawprof",Yes

11/4/2022 8:58:10,pgoat,@pgoat@mastodon.lol,@pgoat,Criminal and appellate ,Florida US,,Yes

11/4/2022 9:27:58,Jim Doppke,@jimdoppke@mstdn.social,@JimDoppke_RSMD,Legal ethics,Illinois,"Former disciplinary prosecutor, legal ethics defense & consultation for 9 years, 26 years in practice",Yes

11/4/2022 11:05:39,Cassandra Robertson,@AndraRobertson@mastodon.social,@AndraRobertson,"Legal Ethics, Civ Pro","Ohio, Texas",Lately obsessed with the legal issues arising from vehicle automation,Yes

11/4/2022 11:11:07,Stacey Lantagne,@StaceyLantagne@mastodon.social,@staceylantagne,"intellectual property, copyrights, trademarks, internet memes, fanficition, entertainment law",United States,,Yes

11/4/2022 11:54:44,Jerry Levine,@jerrylevine@mastodon.social,@jerry_levine,"Legal Technology, Future of Law, AI & Law",,"Lawyer and legal technologist. Chief Evangelist & GC at ContractPodAi. I like law, tech, the intersection of the two (& cats). Also food. â",Yes

11/4/2022 12:14:55,Yurij Rudensky,@cosmicboar@mastodon.social,@yurijrudensky,"representation, redistricting, apportionment, democracy",US,senior counsel at the Brennan Center,Yes

11/4/2022 12:21:19,Judd Sneirson,@jsneirson@mas.to,@juddsneirson,"business law, contracts, sustainability",,Southern University Law Center,Yes

11/4/2022 14:54:54,Daria Roithmayr,@droithmayr@mas.to,droithmayr,Critical race theory,,USC Law Prof. River sitter. AbiqueÃ±o.,Yes

11/4/2022 16:31:35,JB Emmons,@IntlLawGnome@mastodon.social,,"Civil rights, qualified immunity, civil procedure, administrative law","USA, Canada",US-licensed attorney currently pursuing licensure/practice in British Columbia,Yes

11/4/2022 16:53:09,Lawprofblawg,@lawprofblawg@mstdn.social,@lawprofblawg,"academic markets, labor economics, antitrust, competition law, law & economics",,,Yes

11/4/2022 17:16:36,Kate Carruthers,@kcarruthers@mastodon.social,@kcarruthers,Data ethics ai ml privacy ,Australia ,,Yes

11/4/2022 18:23:32,Jeremy Robson,@jezrobson@toot.community,@jezrobson,"Criminal law and evidence, jurisprudence ",England and Wales ,"Associate Professor in Law, De Montfort university ",Yes

11/4/2022 18:47:34,Kate Galloway,@katgallow@aus.social,@katgallow,Property law; land rights; Indigenous rights; environment; women; legal profession,Australia,,Yes

11/4/2022 18:57:39,Cristy Clark,@cristyclark@aus.social,@cristyclark,"Human rights, legal geography ","International law, Australia ","I write about human rights, environmental justice and legal geography. Iâm interested in progressive politics. ",Yes

11/4/2022 19:13:31,Rebecca Bratspies,@RBratspies@mastadon.social,@RBratspies,"environmental law, environmental justice, climate change, New York City, urban planning",New York ,"CUNY Law prof who works at the intersection of climate change, human rights, and environmental law.  I write a lot about New York City.  (she/her)",Yes

11/4/2022 19:21:05,Dru Stevenson,@drustevenson@mastodon.social,@DruStevenson,"Firearm Regulation, Administrative Law, Legal Ethics",USA,"Wayne Fischer Research Professor, South Texas College of Law Houston",Yes

11/4/2022 20:07:09,Carl Takei,@carltakei@sfba.social,@carltakei,"AAPI civil rights, crimm/imm, reimagining community safety",USA,"Criminal Justice Reform Program Manager & Senior Staff Attorney, Asian Americans Advancing Justice - Asian Law Caucus",Yes

11/4/2022 20:11:23,Molly Brady,@mollyxbrady@mastodon.social,Mollyxbrady,"Property, land use, legal history ",,,Yes

11/4/2022 20:12:53,Jackie Gardina,@jackiegardina@awscommunity.social,@jackiegardina,Civil Procedure Administrative Law Higher Education,,"Law school Dean, co-host of SideBar on Legal Talk Network",Yes

11/4/2022 20:17:19,Melissa Castan,@MelissaCastan@aus.social,@DrMCastan,"Human rights constitutional law, Indigenous Rights, Legal education ","Australia, Oceania, the world ",Australian Legal Academic ,Yes

11/4/2022 20:21:50,Sheila Foster,@SheilaRFoster@mastodon.social,@SheilaRFoster,"local government law, public policy, land use, environmental, environmental justice, climate change",,Professor Law and Public Policy,Yes

11/4/2022 20:29:23,Marian Kennedy,@Marian__Kennedy@mastoden.global,@Marian__Kennedy,International and Constitutional law,"England, Singapore, Australia, US ",Also writes fiction and reviews theatre and dance for LonodonTheatre1,Yes

11/4/2022 20:43:10,Andy Sellars,@sellars@octodon.social,@andy_sellars,"law and technology, intellectual property, media law","MA, NY, federal",,Yes

11/4/2022 20:45:42,Michelle N. Meyer,@michellemeyer@mstdn.social,@michellenmeyer,"Health law, law and bioethics","U.S., Pennsylvania ",,Yes

11/4/2022 20:46:50,Abi Peralta,@aperalta@mastodon.social,@aamperalta,"Tax, antitrust, criminal justice ",,,Yes

11/4/2022 20:55:15,Ruth Anne Robbins ,@RA_Robbins,@RA_Robbins,Legal writing ,New Jersey ,"Applied Legal Storytelling, Visual Legal Writing",Yes

11/4/2022 21:11:00,Rebecca Crootof,@RebeccaCrootof@mstdn.social,@RebeccaCrootof,"Techlaw, International Law, Torts",,,Yes

11/4/2022 22:21:36,Dorna Mohaghegh,@dmohaghegh@mastodon.social,@DMohaghegh,"First Amendment, law of democracy, constitutional law",US (state and federal),PhD Student at UC Berkeley; Retired from practice; JD from NYU,Yes

11/4/2022 22:37:21,Jennifer K. Wagner,@DNAlawyer@mas.to,@DNAlawyer,"genetics/omics, biotech, human rights, health law, privacy law, bioethics, anthroengineering ",,"Assistant Professor of Law, Policy, and Engineering at Penn State University; attorney (sole practitioner)",Yes

11/4/2022 23:10:54,Grant R. Gulovsen,@gulovsen@mastodon.online,@gulovsen,"startup law, crypto law",Illinois,Attorney in private practice and U.S. Army combat veteran advising and representing startups in the crypto industry since 2017,Yes

11/4/2022 23:11:59,Peter Kelly,@PeterKelly@mastodon.nz,@kiwiPeterKelly,"Equity, family property, contract, IHL","New Zealand, other common law, international law",,Yes

11/4/2022 23:18:47,Jim Milles,@jimmilles@c.im,,Legal ethics,,,Yes

11/5/2022 0:26:56,Valeria Gomez,@ProfeValeria@mastodon.social,@AbogadaValeria,"Asylum Law, Immigration Law, Clinical Teaching",,Asst. Professor and Director of Immigrant Rights Clinic at Univ. of Baltimore School of Law,Yes

11/5/2022 1:13:32,Alison Young,@scotinoz@aus.social,@scotinoz,"Criminal law, legal theory, law and humanities ","Australia, Japan, UK",Academic at Melbourne University ,Yes

11/5/2022 1:32:25,Katie Bollman,@katiebollman@econtwitter.net,@kathrynbollman,Economics of indigent defense ,,Assistant Prof. of Economics studying attorney labor markets and court processes ,Yes

11/5/2022 3:06:08,Alyson Drake,@drakealyson@mastodon.social,@drakealyson,"Legal pedagogy, legal.research, law librarianship",,,Yes

11/5/2022 3:40:11,Ravi Parmar ,@skramko@toot.community,,"legal theory, critical legal theory, legal history, law and society",,I am an early career legal academic from India.,Yes

11/5/2022 3:58:44,Oona HATHAWAY,@oonahathaway@mastodon.world,@oonahathaway,"international law, national security, foreign relations law",,"Professor of Law, Yale Law School",Yes

11/5/2022 6:09:25,Dieter Vanelverdinghe,@DVE@mstdn.social,,Real Estate,"Belgium, EU",,Yes

11/5/2022 8:43:03,Pamela Foohey,@bankruptcyprof@mastodon.ie,@PamelaFoohey,"Bankruptcy, commercial law, consumer law, business associations",United States,"Bankruptcy professor at Cardozo School of Law. Co-investigator, Consumer Bankruptcy Project. Blogger, Credit Slips.",Yes

11/5/2022 9:24:02,Liz Hicks ,@lizhicks@mastodon.online ,@LizHcks,"Comparative public law, climate and environment ","Australia, Germany, general comparative ",,Yes

11/5/2022 9:26:50,"Sean Jeffcoat, J.D.",@Mr_Jeffcoat@lor.sh,Mr_jeffcoat,"Criminal defense, immigration law","Missouri, North Carolina ",Patiently waiting for my transfer application to get approved to begin practicing!,Yes

11/5/2022 10:49:19,Dan Farbman ,@dsfarbman@mstdn.social,@dsfarbman,"Legal History, Local Government, Social Movements ",,,Yes

11/5/2022 10:59:25,Noah Rosenblum,@narosenblum@mastodon.social,@narosenblum,"Legal history, constitutional law, administrative law, New York State courts","Federal, New York",,Yes

11/5/2022 11:33:49,Lior Strahilevitz,@lior@mstdn.social,@liorjs,"Privacy law, Property law, Law & Technology","US, EU, UK",Professor at University of Chicago Law School,Yes

11/5/2022 11:35:27,Jonah Knobler,@jonahknobler@mstdn.social,@jonahknobler,"Class actions, complex litigation, false advertising, appellate, copyright, trademark","USA, New York",,Yes

11/5/2022 11:36:40,Heather Walter-McCabe,@profwaltermac@mstdn.social,@professormccabe,"Public health law, LGBTQ health equity and law, administrative law, health law","Federal, multistate",Associate Professor with joint appointment to Law School and School of Social Work,Yes

11/5/2022 11:47:06,Pat Sobkowski,@pjsobkowski@mastodon.social,@PJSobkowski,"Administrative law, constitutional law, legal history ",United States,,Yes

11/5/2022 12:58:14,Asaf Lubin,@AsafLubin@noc.social,@AsafLubin,"International Law, Cybersecurity Law, Tort Law, Insurance Law, Law and Technology, Privacy Law, National Security Law","US, EU, Israel",Associate Professor of Law at Indiana University Maurer School of Law with faculty affiliations at Berkman Klein Center for Internet and Society at Harvard University; Information Society Project at Yale Law School; and Hebrew University of Jerusalem Federmann Cybersecurity Research Center.,Yes

11/5/2022 13:07:23,Madeline T. Morcelle ,@madeline4health@mstdn.social,@madeline4health,"Health law and policy, health justice, reproductive justice ",U.S.,"Health policy attorney at the National Health Law Program, Executive Coach at Harvard SPH Leadership Lab, Board Chair at Converge: Partners in Access ",Yes

11/5/2022 13:09:08,Michael Mattioli,@michaelmattioli@mstdn.social,@michaelmattioli,"Intellectual property, law and technology",,Professor of Law at Indiana University in Bloomington,Yes

11/5/2022 13:17:05,Nikolaus ForgÃ³ ,@nikolausf@wien.rocks,nikolausf,"IT Law, IP Law, Legal Tech, Legal Theory, Health Law","European, Austrian, German","Professor of Law, University of Vienna",Yes

11/5/2022 13:39:58,Richard Moorhead,@richardmoorhead@toot.community,@richardmoorhead,"Lawyers ethics, legal services, and psychology, sociology and economics of lawyers",All but esp. UK,,Yes

11/5/2022 13:43:28,Bill Childs,@billchilds@mastodon.social,Billchilds,"Litigation, Experts & Scientific Evidence; Torts, Products Liability, Amusement Park/Recreation",,In-house litigation counsel and adjunct law prof; previously full-time law prof and firm lawyer,Yes

11/5/2022 13:59:48,Francis M. Cao,@franciscao@mastodon.social,@thefranciscao,"legal theory, international law, political economy, China",,"Political economist, research in money & credit, #neoliberal China. Philadelphia sports fan, Pretzel over Brezel @PennLaw LLM @PKU1898 PhD @goetheuni (he/him)",Yes

11/5/2022 14:04:50,Sandra Duffy,@DrSandraDuffy@mastodon.ie,@Sandra_NiD,"Human rights, gender and sexuality, postcolonialism, international law","Ireland, UK, Europe",Law lecturer at University of Bristol. Former researcher ILGA World.,Yes

11/5/2022 14:04:51,Jose Miola,@Josemiola@toot.community,@profmiola,Medical law and ethics,UK,Professor of Law at the University of Leeds,Yes

11/5/2022 14:20:12,Paul Gowder,@paulgowder@recurse.social,PaulGowder,"Jurisprudence, critical race theory, constitutional law, law and technology, classical Athenian law, political theory ",U.S.,"Professor of law and associate dean of research and Intellectual life, Northwestern. Cat dad.",Yes

11/5/2022 14:23:02,Nate Ela,@nate_ela@mastodon.social,@nate_ela,"Property, land use, election law, law and society",,,Yes

11/5/2022 14:25:49,Zach Leggett,@zach_leggett@mastodon.world,@zach_leggett,Criminal law,"England, Ireland and Canada",Senior Lecturer at University of Sunderland.  PhD candidate at Northumbria University.  PhD on the regulation of sex work.,Yes

11/5/2022 14:33:22,Annemarie Bridy,@AnnemarieBridy@mastodon.lawprofs.org,@AnnemarieBridy,"Internet Law, Intellectual Property, IP & Tech Law, Tech Policy","US, EU","IP & tech lawyer. JD, PhD. Fellow @StanfordCIS & @yaleisp. Former full prof @UIdahoLaw.",Yes

11/5/2022 15:15:13,Marie-Lou Laprise,@mlaprise@mathstodon.xyz,@marieloulaprise,"corporate law, IT law, contracts, law and political economy","US, Canada","Lawyer, PhD student at Princeton",Yes

11/5/2022 15:44:28,Deborah Pearlstein,@DebPearlstein@mstdn.social,@DebPearlstein,"constitutional law, democracy, national security, international law",,,Yes

11/5/2022 15:53:45,Elettra Bietti,@elibietti@mastodon.social,@elibietti,"Technology law, antitrust law, comparative law","US, EU",,Yes

11/5/2022 15:55:28,Melissa Balough,@melissabalough@ci.im,@melissabalough,"Litigation. Interests: con law, legal theory, pretty much all of it",U.S. and California,"Lawyer, mom, and I hate fighting on social media",Yes

11/5/2022 16:08:18,Michael Mitchell,@mmitchell@mas.to,,"Election law, constitutional law, philosophy",,,No

11/5/2022 16:40:31,Claerwen O'Hara,@Claerwen@eldritch.cafe,@claerwenohara,"International law, feminist and queer law, human rights law, trade law",International,"I am a Lecturer in Law at La Trobe University (Australia), Co-Chair of the ANZSIL Gender, Sexuality and International Law Interest Group, and a member of the Australian Feminist Law Journal Editorial Board. I am currently completing a PhD at Melbourne Law School. I research in the fields of international human rights law and international economic law, drawing on queer, feminist and other critical theories.",Yes

11/5/2022 16:51:18,GregSergienko,@GregSergienko@mastodon.social,@GregSergienko,Civil Procedure; Professional Responsibility; Legal Education ,,,Yes

11/5/2022 16:54:14,Haley Anderson,@h_s_anderson@mstdn.social,@h_s_anderson,"legal philosophy/jurisprudence, international law, civil procedure",US & international,"PhD student in Jurisprudence & Social Policy at UC Berkeley, and postgraduate fellow at Just Security.",Yes

11/5/2022 17:02:38,David Gill,@dtgill@mastodon.social,@dtgill,"Criminal Law, Constitutional Law, Law and Sex, Indigenous Law",Canada,,Yes

11/5/2022 17:06:34,Brian Carver ,@brianwc@mastodon.social,brianwc@,Copyright ,Global ,In-house ,Yes

11/5/2022 17:13:50,Amy Funderburk,@alf@toot.wales,Alfunderburk,"Appellate, in-house ",North Carolina ,I am a former appellate Clerk of Court and am now in house. Iâd like to connect with people from #appellatetwitter and #lawtwitter,Yes

11/5/2022 17:13:52,Malinda Seymore,@adoptiontalk@mas.to,@adoptiontalk,"adoption law, family law, criminal procedure, evidence",US & international,"Professor, Texas A&M University School of Law",Yes

11/5/2022 17:17:12,Sancho McCann,@sanchom@mastodon.social,sanchom,"public law, copyright",Canada,,Yes

11/5/2022 17:30:38,Bo Kim,@boslkim@mastodon.social,@boslkim,"Intellectual property, technology, private law",U.S.,,Yes

11/5/2022 17:33:17,Evelyne Schmid,@EvelyneSchmid@social.anoxinon.de,@SchmidEvelyne,"international law, human rights, environmental law, foreign relations law","international, Switzerland, Europe",,Yes

11/5/2022 17:42:02,David Ziff,@djsziff@mastodon.sdf.org,@djsziff,"Legal Writing, Citation, Rhetoric",Washington State,,Yes

11/5/2022 17:45:08,Richard Gold,@IP_policy@mastodon.lawprofs.org,@IP_policy,Intellectual property; innovation; property; complexity theory,"Canada, US, EU, comparative",McGill Law Prof researching IP and innovation from transdisciplinary perspective,Yes

11/5/2022 17:49:16,Ann Lipton,@annmlipton@esq.social,annmlipton,corporate and securities,united states,,Yes

11/5/2022 17:50:44,Caroline Abbott,@Cleo@sfba.social,@czhabbott,"Health law, public policy, bioethics",,retired,Yes

11/5/2022 17:53:50,Scott Shapiro,@scottjshapiro@mastodon.social,@scottjshapiro,Hatred of Inclusive Legal Positivism,All possible jurisdictions,,Yes

11/5/2022 17:56:56,Dara Obbard,@dobbard@mastodon.social,,Affordable housing finance and policy ,Massachusetts,Practicing attorney representing nonprofit affordable housing developers and those who finance them (including subsidizing government agencies). Emerge MA Class of â19 and co-host of The Not Small Things Podcast. ,Yes

11/5/2022 18:04:41,Alan Rozenshtein,@arozenshtein@mastodon.social,@arozenshtein,"constitutional law, law and technology",,,Yes

11/5/2022 18:05:29,Simone van der Hof,@joix@eupolicy.social,@joix,Law (child rights) & technology ,,,Yes

11/5/2022 18:06:35,Jeffrey Vagle,@jvagle@mamot.fr,@jvagle,"Privacy Law, Cybersecurity Law, Technology Ethics",,,Yes

