Timestamp,Name or Known As,"
What is your Mastodon handle (@user@instance.name)?","What is your Twitter handle, if you have one (@user)?",What is your focus?,"Anything else you want to share? (bio link, org, school, etc.)","Professional, enthusiast, student?"
11/18/2022 10:07:03,Henrico Weather,@HenricoWx@mastadon.world,@HenricoWxGeek,Weather for Richmond and central Virginia with a dose of politics and Virginia Tech sports.,,Enthusiast
11/18/2022 10:16:01,Brett Hoover,@bretthoover@fediscience.org,@brett_hoover_wx,"models, data assimilation, analysis, obs, prediction",,Professional
11/18/2022 10:51:34,LaReinaTormenta,@lareinatormenta@universeodon.com,@lareinatormenta,,,Enthusiast
11/18/2022 11:00:01,Patrick Duplessis,@pat_wx@newsie.social,@pat_wx,"Mostly weather summaries and stats, Eastern Canada",Meteorologist at M̩t̩oM̩dia,Professional
11/18/2022 11:13:15,Thijs Heus,@thijsheus@mastodon.world,@Large_Eddy,Numerical modeling of boundary layers and clouds,Associate Prof at Cleveland State University,Professional
11/18/2022 11:52:09,Caleb Carmichael,@calebwx@mstdn.social,@calebweather,,Currently a meteorology student at Mississippi State University  ,University Student
11/18/2022 11:56:54,Shaun Curry,@shauncurry@mastodon.social,@ShaunCurry,Trained SKYWARN spotter. Just love weather. .,,Enthusiast
11/18/2022 12:10:39,Sarah Stierch,@sarahstierch@sfba.social,@sarah_stierch,"Wildfires in Sonoma, Napa, Mendocino, and Marin Counties of California.",,Professional
11/18/2022 12:31:23,Scott Doering,@Scott_wx@universeodon.com,@sd79wx,"Weather, Climate, Weather History",NWS,Professional
11/18/2022 12:44:51,Chris Vagasky,@COweatherman@scicomm.xyz,@COweatherman,Lightning,,Professional
11/18/2022 13:40:34,U.S. Tornadoes,@ustornadoes@wxcloud.social,@ustornadoes,Wedges,,Professional
11/18/2022 13:52:02,Stefanie Lauber,,@WxStef,Meteorology,"KRIS-TV Corpus Christi, Tx",Professional
11/18/2022 14:08:47,Jesse Ferrell,@weathermatrix@mastodon.world,@weathermatrix,"Extreme weather, media",Meteorologist & Senior Weather Editor for AccuWeather.com,Professional
11/18/2022 15:02:30,Beau Dodson,@Beaudodson@mastodon.social,@Beaudodson,Meteorology,Mississippi State University ,Professional
11/18/2022 15:15:50,jaymay2002,@jaymay2002@mstdn.science,@jaymay2002,Weather,,University Student
11/18/2022 15:29:01,Athena Masson - Weather Goddess,@WeatherGoddess@journa.host,@Wx_Goddess,Tropical cyclones and meteorology ,,Professional
11/18/2022 16:03:55,Cat Taylor,@cattaylor@newsie.social,@cattaylorwx,,,Professional
11/18/2022 16:32:32,Picture The South,@picturethesouth@mstdn.social,@PictureTheSouth,Backyard NC weather in hurricane zone,Also #BackyardWildlife,Enthusiast
11/18/2022 16:46:04,Rachael Gass,Waiting to get approved!,@RachaelGass,government,DC Commissioner & Scientist ,Professional
11/18/2022 17:47:18,Andrew Wright,@lightsnsound2u.mastodon.social,@lightsnsound2u,"Weather Enthusiast, Theatre Professional ",,Enthusiast
11/18/2022 20:19:59,SecularStormchaser007,@Stormchaser007,@JacobStichter,Meteorology ,,Professional
11/18/2022 20:25:56,Lunalight |Obsidianwing,@lunalight@meteo.social,@obsidianwing,"Art ,Weather, My Life ",,Enthusiast
11/18/2022 20:33:54,Mark Ingalls,@ingalls@pdx.social,@ingalls,Pacific Northwest and renewable energy,ingalls.weathertogether.net,Professional
11/18/2022 21:19:24,Harrisonville Weather,@Cnimbus@mstdn.party,@Hville_Weather,Weather ,,Enthusiast
11/18/2022 21:19:57,Jim Franc ,@TwisterJim3@masto.ai,@TwisterJim3,Storm chasing/weather in general,,Enthusiast
11/18/2022 22:23:47,Steve Paluch,@brewcitychaser@ohai.social,@BrewCityChaser,"General weather photography, storm chasing, lightning physics",,Enthusiast
11/18/2022 22:56:25,Grant Petty,@grantpetty@c.im,@ProfGrantPetty,"Atmospheric physics, remote sensing",Professor at UW-Madison. ,Professional
11/19/2022 1:05:58,Davvi,@davvi@masto,@Davvi_davina,Politics,,Enthusiast
11/19/2022 3:08:57,Stef Henry,@stefferology@mastodon.world,@stefferology,"Meteorology, photography, storm reports, NWS",Valpo & OU alum. Current NWS Meteorologist.,Professional
11/19/2022 5:59:41,Adrian Leyser,@al_meteo@meteo.social,@TheNimbus,"Synoptic Meteorology, Forecast&Analysis, StormChasing, Photography",,Professional
11/19/2022 8:30:53,Chris Alexander,@chrisalexander@thepit.social,@pazzo83,DC weather,,Enthusiast
11/19/2022 16:05:37,Matt Lanza,@mattlanza@mstdn.social,@Mattlanza,"Tropics, Texas, but general wx too",Spacecityweather.com,Professional
11/19/2022 16:27:09,Tom Hamill,@tom_hamill@techhub.social,,"Ensemble weather prediction, forecast verification, statistical meteorology, data assimilation, statistical postprocessing","Cornell Meteorology '85 BS, '97 PhD; Penn State '87",Professional
11/19/2022 17:20:50,Jack Rudden,@JackRuddenWX@masto.ai ,@JackRuddenWX,Weather,,University Student
11/19/2022 18:05:13,JJ Krawczyk,@LexMAWeather@toot.community,@LexMAWeather,"Lexington, Massachusetts, US weather. Real time (as close as possible) alerts",https://lexmaweather.info ,Enthusiast
11/19/2022 18:11:45,Matthew Huber,@Climatedynamics@mastodon.social,@climatedynamics,"Climate, severe weather",https://scholar.google.com/citations?user=EBYEbhQAAAAJ&hl=en,Professional
11/19/2022 18:18:42,Jeremy Reiner,@Jreineron7@toot.community,@Jreineron7,Broadcast Meteorology,,Professional
11/19/2022 19:01:51,Chad M Briggs,@chadmbriggs@climatejustice.rocks,@chadmbriggs,"Climate risks, disaster & weather intelligence",http://www.globalint.org/GlobalInt/Chad_Briggs_Bio_-_GlobalInt.html,Professional
11/19/2022 19:34:01,thestarsarehigh,@thestarsarehigh@infosec.exchange,,"Mostly Michigan, but also interested in severe weather worldwide.",,Enthusiast
11/19/2022 20:34:36,Chris Turnbull,@cturnbull@mastodon.social,@ClimateDude23,Climate Science/Geography/Python/GIS,Penn State University Class of 2023,University Student
11/19/2022 21:13:48,Jason Stiff ,@JasonStiff@sfba.social,@JasonStiff,Broadcast Meteorology,AMS CBM 105,Professional
11/19/2022 21:40:24,Derrick Snyder,@derricksnyder@mastodon.world,@derrick_snyder,"Mainly Ohio Valley Weather, some NWS stuff",B.S/M.S. from Purdue,Professional
11/19/2022 21:54:09,Austin Cross,@austin@skew-t.com,@arcticskew,"Aviation weather, research to ops, code, GIS",NWS,Professional
11/19/2022 21:58:23,Dave Snider,@davesnider@c.im ,@davesnider,"Weather, NWS / NOAA, and tsunami / seismic info",currently at National Tsunami Warning Center ,Professional
11/19/2022 21:58:28,Taylor Pryor,@Taylopryorphotos@masto.ai,@Taylorpryor3 ,"Weather, photography, politics ",,Professional
11/19/2022 21:59:00,Braxton Banks,@453Brax@mas.to,@BraxBanksOKWX,Storm chasing/weather tracking,,Enthusiast
11/19/2022 22:00:30,Rachel Humphrey,@GoAskAScientist@scicomm.xyz,@GoAskAScientist,"Radar and severe weather research, science education",St. Cloud State University,Professional
11/19/2022 22:04:41,Gary Koble,@sgtgary@mindly.social,@Sgtgary,"Forecasting, aviation, metsat, military",https://linktr.ee/Sgtgary,Enthusiast
11/19/2022 22:08:50,Jorge Duarte,@babetoduarte@mastodon.social,@babetoduarte,"Hydrology, Hydrometeorology",CIWRO - The University of Oklahoma ,University Student
11/19/2022 22:09:43,Chick Jacobs,@NCWeatherhound@mastodon.social,@NCWeatherhound,"Weather in the Carolinas, tropical weather","Clemson University, FAY Observer",Enthusiast
11/19/2022 22:10:27,J.P. Tracey,@WX_JPTracey@mastodon.world,@WX_JPTracey,"Forecasting, radar, weather photography. ",,Professional
11/19/2022 22:19:01,Daniel Rothenberg ,@danrothenberg@fosstodon.org,@danrothenberg,Weather and atmospheric data science ,,Professional
11/19/2022 22:36:00,Holly LaMontagne ,@hollyisloud@mastodon.world,@hollyisloud,"Storm chasing, WX communication, foolishness  ",,Enthusiast
11/19/2022 22:43:00,Sara Martin,@mandolinsara@noc.social,@mandolinsara,Severe Weather and Technology ,,Enthusiast
11/19/2022 22:48:57,Sophie Splawinski ,@aviation_wx@mastodon.ca,@aviation_wx,Aviation weather,,Professional
11/19/2022 22:57:34,JW,ntxwxsnr,@ntxwxsnr,weather,OU 2009 metr grad,Enthusiast
11/19/2022 23:20:51,Stan,@notequal@mastodon.social,@notequal2,"Weather, Mesonets, and Data.  Field work and Programming",https://weather.nmsu.edu,Professional
11/19/2022 23:22:40,Kevin McGrath,@kevmcgrath@mastodon.online,@kevinmmcgrath,Data processing and visualization,Meteorologist and software engineer at CSU CIRA / NWS MDL,Professional
11/19/2022 23:23:35,Raychel Sanner,@Raychelsnr@climatejustice.social,@RaychelSnr,Weather/Storm Chasing/Photography,,Professional
11/19/2022 23:31:52,Amos Magliocco,@amosm@wxcloud.social,@amosmagliocco,Busting,"UNT, EJSSM",Enthusiast
11/20/2022 0:03:13,Bryan Ruby,@bryanruby@fosstodon.org,@brubyusa,Meteorology - IT/Information Systems ,,Professional
11/20/2022 0:25:07,Ryan Connelly,@RyWX6@mastodon.world,@RyWX6,aviation but like don't follow me for actual good insight,,Professional
11/20/2022 1:11:14,Alan Auglis,,@Alanauglis,,,Professional
11/20/2022 2:40:41,James Hammett,@stormdig@wx.social,@stormdig,Storm chasing videography,https://www.stormdig.com/,Enthusiast
11/20/2022 6:36:50,Matthew Rydzik,@mrydzik@techhub.social,@coasterbgw,,,Professional
11/20/2022 9:26:05,Weather5280,@weather5280@mstdn.social,@weather5280,Colorado Weather,www.weather5280.com,Professional
11/20/2022 9:34:45,Adam Reagan ,@squatchnado@mastodon.lol,@Squatchnado,Sharing my storm chasing adventures through photos and videos.,,Enthusiast
11/20/2022 10:02:32,Chris Kridler,@chriskridler@universeodon.com,@chriskridler,"storm chasing, photography",,Professional
11/20/2022 10:12:30,Mike Coyne,@Wxguy95@home.social,@Wxguy95,"Operational wx, NWS",,Professional
11/20/2022 10:27:36,Rebecca Moulton,@rcpmwx@ohai.social,@rcpmwx,Probably mostly weather emergency management but also who knows yet?,,Professional
11/20/2022 11:12:43,Kevin Tyle,@nywxguy@fosstodon.org,@nywxguy,"Education, Python dataviz/analysis",https://www.albany.edu/daes,Professional
11/20/2022 11:14:05,Nick Nolte,@nicknoltewx@wx.social,@nicknoltewx,Storm Chasing photography/video,,Enthusiast
11/20/2022 14:03:22,Stephanie Henderson,@DrSAHenderson@mastodon.world,@DrSAHenderson,"Madden-Julian Oscillation, tropical-extratropical interactions, atmospheric blocking, weather extremes",Assistant Professor at University of Wisconsin-Madison,Professional
11/20/2022 14:14:51,Amy McGovern,@profamymcgovern@mstdn.social,@profamymcgovern,AI for weather,http://mcgovern-fagg.org/amy,Professional
11/20/2022 14:21:26,Imme Ebert-Uphoff,@iebert@mastodon.world,@iebert,"Machine learning for weather, remote sensing",Cooperative Institute for Research in the Atmosphere (CIRA) at CSU (https://www.cira.colostate.edu/staff/ebert-uphoff-imme/),Professional
11/20/2022 15:47:06,GamecockColonel,@GamecockColonel@shakedown.social,@GamecockColonel,Causing chaos and hot takes,,Enthusiast
11/20/2022 16:27:39,Harold Brooks,@hebrooks87@mastodon.world,@hebrooks87,Severe thunderstorms ,,Professional
11/20/2022 17:32:54,Justin Finkel,@justinfocus12@techhub.social,@justinfocus12,Rare event analysis & simulation in atmospheric dynamics,Currently a postdoc at MIT. Personal website: https://justinfocus12.github.io,Professional
11/20/2022 17:57:58,Geneva Gray,@GrayWx@sciencemastodon.com,,Climate Change (modeling and downscaling!),I also like crafting and hockey.,University Student
11/20/2022 19:12:15,Da'Vel Johnson,@davelrj@mstdn.science,@Da_VelJ,Weather Briefings for FEMA,https://linktr.ee/davelrj,Professional
11/20/2022 20:09:42,Geoff Cureton,@gpcureton@mstdn.social,@Geoff_Cureton,"Satellite Meteorology, direct broadcast, python, linux, vim",,Professional
11/21/2022 0:10:36,Aaron Hill,@draaronhill@mastodon.world,@DrAaronHill,Meteorology/weather forecasting,,Professional
11/21/2022 0:55:14,Ashley Ravenscraft,@TSRAven22@mastodon.world,@TSRAven22,NWS Meteorologist,,Professional
11/21/2022 1:30:03,Jesper Dramsch,@jesper@tech.lgbt,@jesperdramsch,Real-world Machine learning & AI working in NWP,"ECMWF, SSI fellow, https://dramsch.net/links",Professional
11/21/2022 4:37:55,Thorwald Stein,@thmstein@mastodon.social,@thmstein,"Cloud physics, radar meteorology, and high-resolution NWP (km or less)",https://research.reading.ac.uk/meteorology/people/thorwald-stein/,Professional
11/21/2022 7:40:24,Billy Bowling,@BillyBowling@awscommunity.social,@babowling12,"If it rains, snows, spins, blows, burns, I will chase it. ",,Enthusiast
11/21/2022 7:53:59,Rusty Mehlberg,@RustyMehlberg@newsie.social,@RustyMehlberg,"Forecasting in the western Great Lakes, specifically the Northland (northeast Minnesota & northwest Wisconsin).  Lake Superior isn't easy, but a worthy challenge.",,Professional
11/21/2022 11:36:23,Megan McClellan,@mmcclellanwx@mastodon.world,mmcclellanwx,,,Professional
11/21/2022 13:19:46,CJ Moose,@cjmoose@mastodon.social,@cjmoose,"Tropical meteorology, weather phenomena, disaster comms",,Enthusiast
11/21/2022 15:41:05,Andrew Wright,@lightsnsound2u@mastodon.social,@lightsnsound2u,Weather Enthisiast,,Enthusiast
11/21/2022 17:01:52,YVRwxWatch,@YVRwxWatcher@mastodon.social,@RyanVoutilainen,Weather Extremes/Storms,Bio link,Enthusiast
11/21/2022 17:08:31,Eric,@esmichelson@mas.to,@esmichelson,"General social media info, photography, lover of weather and natural sciences",Professionally a social media researcher at www.research-tree.net,Enthusiast
11/22/2022 7:58:35,Lucas,Indyweather24,Indyweather24,Indiana weather,,Enthusiast
11/22/2022 11:03:10,Natalie Warady,@natw, Nattybynature ,Weather local news ,News enthusiast / weather / interior design,Enthusiast
11/22/2022 15:04:42,Ambling Rose,@AgitatedCu@wx.social,@Palinstrophy,"Weather, science",,Professional
11/23/2022 2:31:30,Cameron Lamp,@cameronlamp@newsie.social,@cameron_lamp,Political blogging,,Enthusiast
11/24/2022 21:27:46,John Huntington,@jhuntington@discuss.systems,@jhuntington,Storm Chasing,controlgeek.net,Enthusiast
11/25/2022 12:17:04,Cristopher Cace,@Cristophersenwx@newsie.social,@CristCacewx,Mid Atlantic and Northeast US Weather,I go to Brookdale Community College and hope to transfer to Rutgers or another 4 year school and I storm chase whenever the opportunity arises. ,University Student
