ntoots	mastodon_name
38	prokraustinator@fediscience.org
3	AnneOsterrieder@mastodon.social
33	NeuralEnsemble@fediscience.org
42	k4tj4@mstdn.social
359	paulbruno@mastodon.social
38	johannarimmele@mas.to
31	marlenemauk@mastodon.world
1886	folfdk@mastodon.social
260	danstowell@mastodon.social
90	EHertwich@mstdn.social
14	DrAnaQueiros@mastodon.green
39	macaskillaf@fediscience.org
34	mayrl@sciences.social
124	ykhong@mas.to
3	DylanPare@mastodon.social
3	sophieduroy@fediscience.org
6	jhi@mstdn.social
59	EmilyOGorman@mastodon.world
117	CathleenCrudden@mstdn.social
64	Dmcampbellwsu@hcommons.social
18	drewendy@mas.to
20	zizip@mastodon.social
80	gav@sciences.social
2	sina_jb@sciences.social
13	jonmichaels@mstdn.social
17	TomFarsides@fediscience.org
53	rbernard@mas.to
20	NorbertoMoreno@mastodon.social
20	pkeys@mastodon.social
15	planetpatman@mastodon.world
6	mindflow@mastodon.social
9	akleinb@sciences.social
1	mburnard@mastodon.social
270	dblodgett@mstdn.social
9	OgawaEM@mastodon.world
110	danaujoks@mastodon.world
19	lclandivar@sciences.social
7	lese66@mastodon.social
92	bakerdh@fediscience.org
6	gerasy@mstdn.social
219	VeraK@mastodon.scot
14	gaianovarino@mastodon.social
43	fransjan@fediscience.org
2	johannesfuss@mastodon.social
3	khertog@sciences.social
13	glicht@mastodon.social
27	chrfield@mas.to
4	DanielKrentzel@mas.to
389	dr_norb@fediscience.org
3	MattNeuro@fediscience.org
68	DavidAMuller@fediscience.org
831	IanMBrooks@mastodon.world
16	shelleyb@mastodon.social
15	johnbcole@mastodon.social
1	jamull@mas.to
1	vivavivette@mastodon.social
16	proftilburg@mastodon.social
65	kyleniemeyer@mastodon.social
1	tabajure@mas.to
129	gmcd@mastodon.social
8	dkagiaros@mas.to
164	niklashoehne@mastodon.social
1221	dgolumbia@mastodon.world
84	lhscholtens@mastodon.world
515	cellysally@mas.to
105	allysonlister@fediscience.org
89	mih@mas.to
4	mieronen@zirk.us
156	matthewcobb@mastodon.social
77	gpmazzoleni@sciences.social
127	dburke@mastodon.social
48	meredithgore@mastodon.social
17	AlexHgO@fediscience.org
15	cbader@mastodon.green
8	KevinKBanda@sciences.social
120	ChristinaSilver@sciences.social
99	uhertz@mstdn.social
19	sethbullock@fediscience.org
13	jingyuanyu@sciences.social
9	luis_aj_alvarez@fediscience.org
1263	powersoffour@mastodon.social
36	PyhaTanja@mas.to
146	csperkins@mastodon.social
30	LidiaPanico@sciences.social
147	CoralGartner@mstdn.social
5	jupurkarthofer@sciences.social
142	lars_dalby@mstdn.social
20	deeds@mastodon.social
5	virginiaconde@fediscience.org
477	owasow@mastodon.social
995	andrew@fediscience.org
3	itjohnstone@mastodon.social
720	adresscomptoir@mastodon.social
52	neteler@mastodon.social
122	anajorge@sciences.social
4	stewartmotha@mastodon.world
209	kimberlyquinn@mastodon.social
5	pnhoward@sciences.social
274	jillymackay@mastodon.scot
36	DeniseMatias@fediscience.org
22	barbaradecock@fediscience.org
313	anavinuela@mas.to
8	hjillianh@mstdn.social
37	kevzag@fediscience.org
6	DrAnaDaugherty@fediscience.org
51	ruyllerablanes76@mastodon.social
4	tbharat_lab@fediscience.org
41	nickcarey@mastodon.social
1	Jcwalrath@mastodon.social
13	thesketh@mastodon.social
280	clomp@mastodon.social
1	mcforelle@sciences.social
10	haransened@fediscience.org
7	MarisaMiraldo@mastodon.social
138	czernie@mastodon.social
1	mlipsitch@mastodon.social
1	Halliki@fediscience.org
2	krysiawally@sciences.social
88	mjantti@mastodon.social
15	dsg1@mastodon.scot
12	raumwurschtler@sciences.social
238	ktai@mstdn.social
53	DrJLCLee@mastodon.green
4	fedebulgarelli@mastodon.social
2	tariztia@assemblag.es
90	BleinThomas@fediscience.org
15	oramorama@mas.to
35	jaredmargulies@mastodon.social
1	vaughandy@mastodon.world
11	jpthomeczek@mas.to
49	sarahmcintyre@fediscience.org
49	kommueller@sciences.social
9	ATGarciaSosa@mastodon.social
292	naubinhorth@mstdn.social
7	karina_bene@fediscience.org
4	lincolnquillian@mastodon.world
8	adam@sciences.social
10	sandy@fediscience.org
5	DrAfroditaMarcu@mastodon.world
59	ImkeHenkel@mastodon.social
67	m8ta@fediscience.org
35	emrinke@mas.to
24	joshcowls@mstdn.social
7	psalkovskis@mas.to
4	maijutanninen@mstdn.social
509	steve@fediscience.org
43	anacweeks@fediscience.org
10	croopier@mastodon.social
23	LesleyHenderson@mastodon.scot
1	wojciechkeblowski@masto.ai
256	JohnWainwright@mastodon.green
61	sometimes_data@mastodon.world
89	SR_B_@mastodon.social
178	jeshyr@mastodon.social
28	A_Ferry@mas.to
99	Sebastian_Kozuch_Comp_Chem@fediscience.org
8	annetteless@fediscience.org
40	AllisonPugh@mastodon.social
387	pmeyfroidt@fediscience.org
8	ahcohen@mastodon.social
62	JeffreyRStevens@fediscience.org
6	AliciaForsberg@fediscience.org
2	HochholdingerF@social.anoxinon.de
131	mgavin@hcommons.social
4	gdfm@mastodon.social
3	altrock@fediscience.org
1	makamqore@mastodon.social
9	nvladimus@mstdn.social
93	saravicca@fediscience.org
44	sneuroble@fediscience.org
1	matthiasmerkel@mas.to
3	nicholasdemark@mas.to
636	Sev_Erhel@mastodon.social
21	romainbrette@mastodon.social
24	sigfridlundberg@hcommons.social
7	ftripodi@mastodon.social
6	jonasbostelmann@mastodon.social
19	cvestena@mastodon.world
360	fMRI_guy@mastodon.social
5	rikkeamundsen@mstdn.social
14	mayhplumb@sciences.social
1389	timelfen@assemblag.es
20	johalgermissen@mastodon.social
35	tarmo@mas.to
30	dhoces@fediscience.org
1	stefanharmeling@mastodon.social
41	tvpollet@sciences.social
20	fmontesi@mastodon.social
8	Thomas_Mangin@masto.ai
111	EdwardVessel@mas.to
59	akarma@fediscience.org
4	Elelona@sciences.social
1	ChrisEhrick@mas.to
55	shemanko@mastodon.world
1	LeaBartsch@fediscience.org
11	DrFluo@mas.to
8	hetatarkkala@mastodon.social
4	ulrikekraemer@mstdn.social
7	JasFitzpatrick@mas.to
7	markeis@mastodon.world
39	jnarboux@mastodon.social
20	leonmo@mastodon.social
38	oanasorescuid@mastodon.green
4	xromerovidal@sciences.social
4	MichaelLerner@mas.to
70	XtremeVirusProf@mas.to
1	AnnaMolofskyLab@mstdn.social
19	esipova@mastodon.social
6	jnkka@mastodon.social
2	jeromeprado@fediscience.org
200	ryanhagen@mastodon.social
284	asusarla@mastodon.social
163	alisonHearn@mastodon.social
22	danjlurie@masto.ai
37	thijsheus@mastodon.world
90	tabitasurge@mstdn.social
5	efharkin@fediscience.org
1020	adrianhon@mastodon.social
111	dapostrophe@mastodon.social
348	mer__edith@mastodon.world
26	darbysaxbe@mas.to
1	njudd@fediscience.org
43	hasterly@mastodon.green
62	rishie_@mas.to
503	mbaudis@mas.to
17	cktai@zirk.us
248	jenspeterthomsen@sciences.social
1	ChristophLaaber@fediscience.org
71	estoknes@mastodon.world
22	cmboulanger@sciences.social
9	rdzombak@mastodon.social
191	JBAGerritsen@mastodon.social
3	ezekiel@fediscience.org
8	tamernawar@fediscience.org
21	fbublatzky@mas.to
307	stillhopeful@mastodon.social
49	David_Baranger@fediscience.org
417	ekmiller@fediscience.org
1	dejliglejlighed@mastodon.green
243	FrederikAust@fediscience.org
4	rebekahgelpi@fediscience.org
2	pkaanders@mas.to
206	prajdhan@mstdn.social
8	jelle@zirk.us
32	Sam_D_Parsons@mastodon.world
103	psychNerdJae@sciences.social
21	JanneA@mastodon.world
239	DrSimonPM@Mastodon.green
232	jasperblom@mastodon.social
86	alistairjump@mastodon.scot
17	jobium@mastodon.social
122	lukaswallrich@sciences.social
55	LolitaN_MD@mas.to
1	simonstuckelberger@sciences.social
5	ewaluger@mastodon.social
1	pritchardjr@mastodon.social
395	ndporter@sciences.social
7	markus_haun@mstdn.social
14	leonieschonbeck@fediscience.org
92	logopetria@mastodon.social
39	martinlangcz@mstdn.social
19	HennaVepsalainen@mas.to
6	marymenton@mastodon.social
155	m_steinwandter@fediscience.org
1	csaldana@mstdn.social
3	ajohnstone@mas.to
51	jakob_schweizer@mastodon.social
63	almogsi@fediscience.org
14	stranack@mastodon.social
15	connconnection@mastodon.social
3	sarah_lempp@mastodon.social
7	maehr@mastodon.social
25	lnnrtwttkhn@fediscience.org
228	fmark@zirk.us
2	AlexBertacchi@fediscience.org
50	cmartinshields@mastodon.social
20	helenagellersen@fediscience.org
80	conflictgeo@mastodon.social
33	RosannaOlsen@fediscience.org
7	barryfishman@mstdn.social
1	tegabrain@mastodon.social
7	corneliabrantner@sciences.social
540	marinaepelman@mastodon.social
3	alterurbanist@mas.to
2	ElisaDeissHelbig@fediscience.org
72	anthrobirder@mstdn.social
308	BBParis1984@mstdn.social
344	geo_garver@mastodon.social
195	mamsmandrill@mastodon.world
6	ethanmccormick@mastodon.social
1	filius@sciences.social
22	OliverJennrich@mas.to
1	versae@mastodon.social
1	nadine@mastodon.green
93	DrNicky@zirk.us
1033	olivermantell@zirk.us
11	sdpick@mas.to
57	PartridgeCG@mastodon.social
12	C_DelgadoGarcia@mastodon.scot
181	aileenfyfe@mastodon.scot
56	tomhardwicke@mastodon.social
53	cortney@mas.to
171	burnsajohn@mastodon.social
200	tedmielczarek@mastodon.social
17	dabail10@fediscience.org
49	andrewdeanho@mastodon.social
25	tibuch@mastodon.social
10	CandiceMMills@fediscience.org
43	PattMeeples@fediscience.org
16	jkubale@fediscience.org
55	sjlarin@mastodon.social
44	jobin@fediscience.org
44	apbliv@mastodon.world
41	DrRParker@fediscience.org
50	astromateusz@fediscience.org
14	RobertPorter@Mastodon.world
4	space_sharing@mastodon.social
20	SPHN_DCC@mastodon.world
28	benjaminbuttlar@sciences.social
2	nealmorton@fediscience.org
3	lapassmore@fediscience.org
15	drsam@mas.to
19	bradgy@mastodon.social
11	DunnHappylab@sciences.social
60	ometeer@mastodon.social
5	barneydunn75@mstdn.social
187	jeromedenis@assemblag.es
10	SarSarela@mastodon.world
1	RyanGrauer@mastodon.social
6	LukeJoelEdwards@fediscience.org
55	judithpollmann@mastodon.social
38	billkatz@mastodon.social
13	elisapannini@sciences.social
9	hannesrusch@fediscience.org
4	PieRatio@mastodon.social
62	PetiaKostadinova@mastodon.world
2	RebeccaGilmour@mas.to
1	rhhoutkooper@mastodon.social
12	mathiasharrer@fediscience.org
18	quayle@mastodon.social
2	gernon@mastodon.world
2	tclose@fediscience.org
1	bengook@mastodon.social
19	chrisoutofspace@mastodon.social
23	TH2OM@mastodon.social
101	clsilva@mastodon.social
17	dhalpern@mastodon.social
17	jranaraki@fediscience.org
67	Gemma_Atkinson@fediscience.org
205	modrak_m@fediscience.org
96	petr@fediscience.org
2	norinalauer@fediscience.org
32	daanvanesch@mastodon.social
19	madianou@mastodon.social
457	timwaterman@mas.to
18	VincePaquin@fediscience.org
2	alexbovet@fediscience.org
259	julsraemy@hcommons.social
3	blaine@mastodon.world
57	zgtcooper@mastodon.social
10	Kristinmichel@mstdn.social
6	pklehre@fediscience.org
207	ukrueg@mastodon.social
260	jmmcd@mastodon.social
6	ljmartin@mastodon.social
1	YuanZ@mstdn.social
11	NancyKanwisher@mas.to
69	triprotic@mastodon.social
5	priscaliberali@mas.to
9	meinshausen@mastodon.green
17	PlanetAri@mastodon.social
21	stegbauer@mastodon.social
140	knowuh@mastodon.social
5	MarcoPegoraro@mastodon.social
13	bobbystojanoski@mstdn.social
28	robstewartUK@mastodon.scot
1	KeesmanLaura@mstdn.social
20	anewq@mastodon.social
8	indigo@fediscience.org
203	forrest@fediscience.org
4	EDixonRoman@mastodon.social
49	a6tole@mastodon.social
5	donnahouston@mstdn.social
119	bcnjake@mas.to
2	ozanmask@mastodon.social
7	nikos@masto.ai
21	kimw@mastodon.social
26	PhilMassey@mastodon.social
889	halperta@hcommons.social
161	jstillerman@sciences.social
74	KouMurayama@mastodon.social
4	colquhoun@mstdn.social
73	HansenMagnusson@sciences.social
5	neuromusic@fediscience.org
4	huw@fediscience.org
27	KyleSiler@mastodon.social
18	gscheiring@sciences.social
42	Stolfidobranch@mstdn.social
185	jamielevinedaniel@mastodon.social
201	VerglPolwi@mastodon.social
1	ingridisa@mastodon.social
91	dfishstats@fediscience.org
29	andiesilva@mstdn.social
48	JuditArvelund@masto.ai
5	dororeis@mas.to
1	beckerbastian@sciences.social
2	barbararibeiro@mas.to
13	basilpreisig@mastodon.world
3	lucaturin@mastodon.social
12	BioGeoBryce@fediscience.org
7	JulienMayor@fediscience.org
34	Papotti@mastodon.social
3	bignardi@mastodon.social
196	TimChristiaens@zirk.us
17	laurhod@mas.to
8	firaswehbe@mastodon.social
17	ffreibert@hcommons.social
13	klo@mastodon.scot
124	keicetel@mastodon.scot
35	tbchristophel@mas.to
433	christydena@zirk.us
13	msminirobot@mastodon.world
200	Joram@mastodon.social
10	mashhuda@mastodon.social
56	koenleurs@sciences.social
95	Buxton_Vienna@mas.to
93	turingfan@mastodon.scot
3	ncardozo@fediscience.org
18	elinaronnberg@mas.to
4	drslochower@mastodon.social
4	DrNASApants@mastodon.social
7	valeklei@mstdn.social
74	CamilStaps@mstdn.social
59	kvn_jean@fediscience.org
57	pkrebs@hcommons.social
17	LinusSchumacher@mas.to
147	Jeggers@mastodon.green
68	mschottdorf@mastodon.social
34	cjfariss@mstdn.social
564	elascity@mastodon.social
117	kopyor@mastodon.social
45	hendriktheine@fediscience.org
81	KyleReedPhD@mastodon.social
169	leahstokes@mstdn.social
2	chrismentzel@mastodon.social
462	Airminded@hcommons.social
537	igutierrez@mastodon.social
10	lianeleeyoung@sciences.social
64	seanlaw@mastodon.social
2	syn_efou@mastodon.social
32	edwinksl@mastodon.social
7	LucieLoyal@mstdn.social
11	Hron@mastodon.social
57	catherinenhall@mas.to
3	npjbrooks@mastodon.green
1904	karengregory@mastodon.scot
128	smithadrianpaul@mastodon.social
124	drboothroyd@fediscience.org
228	EJWagenmakers@mastodon.social
350	BDetenber@mas.to
213	clarekelly@mastodon.social
14	retobuergisser@mstdn.social
90	christofjaeger@mstdn.social
84	nbkroemer@mastodon.world
12	sebastodon@mstdn.social
1	j_sterman@mastodon.scot
48	MarkKelson@mastodon.social
22	bladdercancer@mastodon.social
60	aflaxman@fediscience.org
244	chmeyer2203@mastodon.social
36	danielwilson@masto.ai
33	maxroser@mas.to
111	CaryaMaharja@mstdn.social
114	arnaumontagud@fediscience.org
53	annelottejanse@mstdn.social
16	BCernusa@mastodon.social
84	CuffaroMichael@mastodon.social
44	loeckenhoff@fediscience.org
5	bandon_decker@mstdn.social
2	tinaeliassi@mastodon.social
5	Santiagoalonsodiaz@mas.to
11	Luk_O@fediscience.org
401	rlsdvm@mastodon.social
17	DocMattMoudi@mastodon.social
9	marcoyannic@mastodon.social
33	raybecker@mastodon.social
133	emmajdboland@fediscience.org
2	LeaPortmann@mastodon.world
466	bethanyusher@mas.to
3	HerminaN@mastodon.world
56	SpeciationLab@mastodon.social
1	barbarafersch@mastodon.social
6	rpope@mstdn.social
51	tilvi@mastodon.social
11	joshdouglas@masto.ai
25	b_j_griffiths@fediscience.org
110	thieslindenthal@mastodon.social
44	emaemura@mastodon.social
6	aleadbetter@mastodon.world
59	Ademertzi@mastodon.social
927	josh@fediscience.org
23	lluaces@mstdn.social
4	CHKChen@fediscience.org
4	griselsr@mastodon.social
27	Grubb@mas.to
2	kenanhochuli@zirk.us
7	JuliaNolte@fediscience.org
106	OlivierGodechot@sciences.social
1	MartinWetzel@sciences.social
351	glycojones@mastodon.world
8	bartram@mstdn.social
12	lorenzololli@mastodon.world
308	prats@fediscience.org
873	PeterGleick@fediscience.org
414	hannesbajohr@zirk.us
