mastodon	twitter
@DrJoyZhang@sciences.social	@drjoyzhang
@nilanjana@mas.to	@_nilanjana_
@hamatgwa@mstdn.jp	@hamatgwa
@AssaDoron@aus.social	@AssaDoron
@Izband@mastodon.world	@UshaymTariq
@SabinaKnight@zirk.us	@SabinaKnight1 & @SangBina (ä¸­è±éèª)
@beckminster@mastodon.social	@beckminster
@Deglassco@mastodon.social	@deglassco
@carorinrin@masto.ai	@carolin_becke
@alizhorvathaliz@fedihum.org	@alizhorvathaliz
@cjc@universeodon.com	@cjchavan7
@acevedo@dizl.de	@aceved0villalba
@claudiamerli@mstdn.social	@Claudia_Merli1
@nmanabe@mastodon.social	@nmanabe
@paularcurtis@zirk.us	@paularcurtis
@ohmwu@zirk.us	@ohmwu
@kathrineitel@mastodon.world	kathrineitel
@SmilingHaniwa@archaeo.social	@SmilingHaniwa
@rkadelhi@mastadon.world	@rkadelhi
@richardclcheung@mastodonapp.uk	@rclc_cheung
@little_aloo@mas.to	@kinyan852
@xiaolongnu@zirk.us	@kate_lingley
@obu@digipres.club	@buddhistuni
@tony@hcommons.social	@tonywatkins_
@pmphillips@amastodon.uk	@pmphillips
@giacbelloli@ohai.social	@giacbelloli
tyndalehouse@mas.to	@tyndale_house
@praxeas@ohai.social	@praxeas
@mariefrb@sciences.re	scripturarum
@JosBernaer@mastodon.vlaanderen	@JosBernaer
@BibleUnboxed@mstdn.social	BibleUnboxed
@RevEricBurrowsStone@deacon.social	@RevBurrowsStone
egwalsh@mastodon.world	ErinCGW
@joseph@bibly.com	@josephlouthan
@acevedo@dizl.de	@aceved0villalba
@swhatshanesaid@sself.co	@swhatshanesaid
@AKMA@religion.masto.host	@AKMA
@rickbrannan@hcommons.social	@rickbrannan
@YaleDivinitySchool@mstdn.social	@YaleDivSchool
@Ian_BTurner@mastodon.social	@Ian_BTurner
@jamesmacknight@mstdn.ca	@jamesmacknight
@profchrismjones@sotl.social	@profchrismjones
@pauldavidson@mas.to	@ititb_blog
@86ul@vivaldi.net	-
@SJLahey@mastodon.social 	@SJLahey
@RareBookLibAntw@mastodon.social	@RareBookLibAntw
@phil_lol_ogist@mstdn.social	@phil_lol_ogist
@SegoleneG@fosstodon.org	@SegoAG
@zanna_vl@mastodon.online	@zanna_vl
@Friede@mastodon.online	@Friede
@dr_pangallo@mastodon.social	@dr_pangallo
@wynkenhimself@glammr.us	@Wynkenhimself
@sitasteckel@mastodon.online	@sitasteckel
@BiblioWingate@mstdn.social	@alextheknitter
@aaronm@mastodon.cc	@gundormr
@liberray@mas.to	@liber_ray
@mazarine@mastodon.social	@mazarines
@vivdunstan@mastodon.scot	@vivdunstan
@caitlinest@glammr.us	@Caitlinest
@robdmontoya@mastadon.social	@robdmontoya
@elenawicker@mastodon.social	@elenawicker
@quodemelye@glammr.us	@quodemelye
@Citizenwald@mastodon.online	@Citizenwald
@medievalMB@mas.to	@medievalMB
@jacquelinehylkema@akademienl.social	@JacqHylkema
@NFerey@mamot.fr	@FereyNadine
@mlinssen@mastodon.online	@martijnlinssen
@martinevanelk@c.im	@martinevanelk
@krista@mas.to	@drkmurch
@amroos@mastodon.social	@annamarieroos3
@Incunabula@mstdn.social	@incunabula
@jrdgibson@mastodon.online	@jongib
@slevelt@scholar.social	@slevelt
@fierengraw@mastodon.online	@fierengraw
@CordeliaBeattie@mstdn.social	@CordeliaBeattie
@Perkamentus@mastodon.social	@Perkamentusblog
@adapalmer@wandering.shop	@Ada_Palmer
@DrRuthAtherton@mastodon.online	@DrRuthAtherton
@aAndrewKing	@andrewking2904
@davidflood@fosstodon.org	@FloodDavid
@allensaccnt@mastodon.online	@AllenShotwell
@rmidura@mastodon.world	@rcmidura
@oldbooksandwine@mastodon.scot	@Oldbooksandwine
@booksandleather@hcommons.social	@booksandleather
@whitneytrettien@assemblag.es	@whitneytrettien  
@jraimo@mastodon.online	@jraimo
@elsavalente@akademienl.social	@elsvalente
@fallwendy@mstdn.social	@gothicunbound and @wendybirdblue
@medieviz@mamot.fr	@medieviz
@bookish@mstdn.social	@leahatwhatprice
@marphurius@mastodon.top	@Marphurius
@leoba@glammr.us	@leoba
@yael_rice@mastodon.online	@yael_rice
"@robdmontoya@mastodon.social	"	@roddmontoya
@natalie@scholar.social	@kra_natalie
@lankian@mastodon.top	@lankian
@jeffjarvis@mastodon.social	@jeffjarvis
@HannadeLange1@mastodon.social	@HannadeLange1
@shandyist@scholar.social	@shandyist
@taoish@mastodonapp.uk	@taoish
@lizfischer@mstdn.social	@lizfischer0
@jogaorba@xarxa.cloud	@Jgob
@fallwendy@mstdn.social	@gothicunbound and @wendybirdblue
@matz@sociale.network	@matteozenatti
@biblio_maria@zirk.us	@biblio_maria
@biblioscholar@c18.masto.host	@biblioscholar
@broadviewpress@mastodon.social	@broadviewpress
@lauraingalli@hcommons.social	@lauraingalli
@calrbs@glammr.us	@calrbs
@jesseabe@dice.camp	@JesseAbe
@shane@social.futurnumerique.com	@scooke
@huntergatherer@mastodon.sdf.org	@HunterCorb
@aileenfyfe@mastodon.scot	@aileenfyfe
@mattshaw@mastodon.world	@_mattshaw
@laurasdeluca@mstdn.social	@LauraSDeLuca
@LisaMaruca@c18.masto.host	@lmaruca
@farleykatz1@mastodon.social	@FarleyKatz1
@piers@hcommons.social	@cohaerencegone
@jbcamps@fediscience.org	@jbcamps
@DrKarrSchmidt@mindly.social	@DrKarrSchmidt
@lisafedorak@mastodon.cloud	@fedorakindexing
@andiesilva@mstdn.social	@andiesilva
@book_historia@mastodon.social	@book_historia
@histsciart@toot.community	@HistSciArt
@AlexaRenggli@openbiblio.social	@AlexaRenggli
@soastier@mastodon.zaclys.com	@soastier
@brimwats@scholar.social	@brimwats
@robdmontoya@hcommons.social	@robdmontoya
@mmargolis@hcommons.social	@hchesner
@sbschliep@glammr.us	@SaraSchliep
@fragmentarium@hcommons.social	@fragmentariumMS
@mlkharrington@hcommons.social	mlkharrington
@genematanky@zirk.us	@GMatanky
@literature_geek@mstdn.social	literature_geek
@carinr@hcommons.social	@carinr
@libcolleen@mas.to	@libcolleen
@doctor_c_phd@mastodon.world	@AL_Castonguay
@fragmentarium@hcommons.social	FragmentariumMS
@mariefrb@social.sciences.re	scripturarum
@aarontpratt@hcommons.social	@aarontpratt
@MatthewHolford@zirk.us	@MatthewHolford
@erik_kwakkel@mastodon.world	@erik_kwakkel
@annegoldgar@mstdn.social	@anne_goldgar
@BooksOfLaw@mastodon.world	@booksoflaw
@JosBernaer@mastodon.vlaanderen	@JosBernaer
@matthieucassin@sciences.re	@mcassin2
@kyropoulos@mastodon.social	@kyropoulos
@litteracarolina@mastodon.online	@litteracarolina
@trudedijkstra@akademienl.social	@trude_dijkstra
@LisaFaginDavis@mastodon.world	@lisafdavis
@pemorel@social.sciences.re	@petermrl
@katell_laveant@akademienl.social	@KLaveant
@behindthespines@glammr.us	@behindthespines
@blankbookbinding@mastodonapp.uk	@grace_touzel
@rindertjagersma@akademienl.social	@R_Jagersma
@justcodeculture@mastodon.social	@justcodeculture
@ApocalypsisNova@h-net.social	@ApocalypsisNova
@mullneritsch@scholar.social	@mullneritsch
@ClaireFromClare@h-net.social	@ClaireFromClare
@etreharne@mastodonapp.uk	@etreharne
@AmazingMeagen@mastodon.world	@AmazingMeagen
@plutopsyche@mastodon.social	plutopsyche
@mcegillion@hcommons.social	@mcegillion
@shgregg@hcommons.social	@gregg_sh
@mssprovenance@mastodon.world	@mssprovenance
@stuartcantrill@mastodon.social	@stuartcantrill
@Jarvist@mastodon.social	@JarvistFrost
@MolecularXtal@mastodon.social	MolecularXtal
@piquemal@mastodon-pa.sorbonne-universite.fr	@jppiquem
@oferkedem@fediscience.org	@OferKedem
@davidlmobley@mstdn.science	davidlmobley
@scburdet@mas.to	scburdet
@FGloecklhofer@fediscience.org	@FGloecklhofer
@samiammikes@mastodon.online	@samiammikes
@fxcoudert@mastodon.social	fxcoudert
@JohnTaylor@qoto.org	@JohnTaylorChem
@ProfFerrous@hachyderm.io	@ProfFerrous
@DeliaMilliron@social.coop	@DeliaMilliron
@elisa@mastodon.world 	@elisaTelisa
@MartinTiano@fediscience.org	@tianochem
@yolandapereznmr@mstdn.social	@yolandapereznmr
@ZwijCompChem@fediscience.org	@ZwijCompChem
@mms_boku@wien.rocks	@mms_boku
@bobburrow@mastodon.social	BobBurrow 
@imberty@mastodon.online	@AnneImberty
@polymerreaction@aus.social	@polymerreaction
@dmonchaud@genomic.social	@dmonchaud
@BagPhos@mastodon.online	@BagPhos
@Timoer@mastodon.social	@Tfr68
@Nour@mastodon.world	@Nour_Tanbouza
@Rhodium103@Mastodon.social	@DrCDArmstrong
@angulolab@mastodon.online	@Angulo_Lab
@flapointe@det.social	@MisteurLapointe
@juris@mas.to	@MeijaJuris
@egonw@scholar.social	egonwillighagen
@McElweeWhite@mastodon.online	@McElweeWhite
@anboa4@mastodon.online	@anboa4
@Pomplunlab@mstdn.science	@PomplunSeb
@eentjebeen@mastodon.ie	@eentjebeen 
@glycojones@mastodon.world	@glycojones
@michelrickhaus@mastodon.online	@michelrickhaus
@Phlogiston1@mastodon.social	@Phlogiston1
@FuchterMatt@mstdn.science	@FuchterMatt
@trantteam@mstdn.science	@TrantTeam
@marshgroup@mstdn.science	@marshgroup
@slapointechem@mastodon.online	@slapointechem
@TimEasun@mastodon.social 	@TimEasun
@pbulsink@mastodon.online	@pbulsink
@JessicaLamb@qoto.org	@Ewerpointe
@marcoradi@qoto.org	@marco_radi
@lonepair@mstdn.social	@lonepair
@Hartley@mas.to	@TheHartleyLab
@rachelsegalman@mstdn.science 	@rsegalman
@michael_k_gilson@fediscience.org	@michaelkgilson
@simonwlewis@aus.social	@simonwlewis
@MartinStoermer@aus.social	@MartinStoermer
@vikkicantrill@mastodon.world	@Vikki_Cantrill
@Gav_Armstrong@mastodon.social	@NChemGav
@LabRat10@mastodon.eus	@LabRat10
@morgrugyn@mastodon.social	@morgrugyn
@ChemProfCramer@mstdn.social	@ChemProfCramer
@adammgilbert@mstdn.science	@adammgilbert911
@Franca@mstdn.social	FrancaJones3
@YuanningFeng@mastodon.social	@YuanningFeng
@SWPrescott@fediscience.org	@SWPrescott
@NinaHartrampf@mstdn.science 	@NinaHartrampf
@jverhell@qoto.org	@jonas_verhellen
@riley_nm1@mstdn.science	@riley_nm1
@zhanghe_goh@mastodon.social	@zhanghe_goh
@JenniferAFaust@mastodon.online	JFaustDoesChem
@EveryWhereChem@Mastodon.Social	@EveryWhereChem
@rachel_epplin@mastodon.world	@RachelEpplin
@jjimenezluna@mastodon.social	@josejimlun
@TM_Truskett@social.coop	@TM_Truskett
@sascha_feldmann@mstdn.social	@sascha_feldmann
@ZhichangLiu@c.im	@Zhichang_Liu
@brachinus@queer.party	@emily_m_arndt
@afernandezphd@qoto.org	@afernandezphd
@jwilcoxen@mstdn.science	@jwilcoxen
@jeremybaskin@mstdn.science	@basktastic
@jonbeves@aus.social	@JonBeves
@adamreidjohnson@c.im	@hmcinorganic
@kamerlinlab@c.im	@kamerlinlab
@ghutchis@mastodon.social	@ghutchis
@PKamat@mstdn.social	@KamatlabND
@ByronPurse@mstdn.science	@ByronPurse
@EvolBiochemist@ecoevol.social	@EvolBiochemist
@gemmacsolomon@mastodon.social	@GemmaCSolomon
@raffricchem@fediscience.org	@raffricchem
@Ptrfsr@mastodon.nz	@Ptrfsr
@luciedelemotte@mstdn.science	@Delemottelab
@gdemirel@mastodon.com.tr	@gokhandemirels
@thiebes@mastodon.social	@thiebes
@mads_chem@mstdn.science	@mads_chem
@margraf@mastodon.social	@jtmargraf
@MariMorimoto@mstdn.science	morimoto_mari
@andre3@mastodon.online	Menandz3
@SollogoubM@mastodon.world	@SollogoubM
@riccardosp@mastodon.bida.im	@riccardosp
@buerviper@mastodon.green	@buerviper
@wendympatterson@mas.to	@wendympatterson
@bertozzi@mstdn.science	@CarolynBertozzi
@Stephanhacker2@mstdn.science	@StephanHacker2
@apajanssen@mstdn.science	@AntheJanssen
@cedric@fediscience.org	@cedricgraebin
@amichalchuk@mastodon.social	@amichalchuk
@JochenRBrandt@mstdn.science	@JochenRBrandt
@lukadordevic@fediscience.org	@L_Dordevic
@robpollice@mstdn.science	@robpollice
@mikebooth@mstdn.science	@DrMikeBooth
@Whimsy1856@mastodon.online	@lauravlaeren
@IfanStephens@mas.to	@IfanStephens
@Marcel_Swart@mastodon.online	@Marcel_Swart
@physics_ange@tech.lgbt	@physics_ange
@EllisCrawford@fediscience.org	@DrEllisCrawford
@PatrickWFritz@fediscience.org	@PFritz_Chem
@BealesLab@mstdn.social	@BealesLab
@micaelamatta@fosstodon.org	@micaelamatta
@a_m_nightingale@mastodon.world	@a_m_nightingale
@KawtharBouchemal@noc.social	@KawthaBouchemal
@TrujilloGroup@mastodon.online	@Trujillo_Group
@sven_rogge@mastodon.online	@sven_rogge
@annakcroft@scholar.social	@annakcroft
@MCeeP@fediscience.org	MCeeP
@beehockin@mastodon.online	@beehockin
@moosavi@mastodon.social	@MoosaviSMohamad
@MothPoulsen@mstdn.science	@KMothPoulsen
@alonso@mathstodon.xyz	@AlonsoRosasH
@aspuru@mastodon.social	@A_Aspuru_Guzik
@StarkeyStardust@scicomm.xyz	@StarkeyStardust
@Dr_Curieosity@qoto.org	@Dr_Curieosity
@RafalBielas@mastodon.online	@RafalBielas
@Pashkuleva@mastodon.world	@iva_pashkuleva
@BrentN@mastodon.online	@BrentN
@ksenia_glusac@qoto.org	@Ksenija_Glusac
@kay_severin@mastodon.online	@kay_severin
@sschitnis@qoto.org	@chitnislab
@arthij@mstdn.science	@arthijayaraman
@gomobel@mastodon.social	@gomobel
@AnastasiaE@mstdn.social	@AnastasiaSci
@BioNanoPaco@mstdn.science	@BioNanoPaco
@kesavacherukuri@mastodon.online	@kesavacherukuri
@L_howes@mastodon.social	@L_Howes
@TPRuoko@mstdn.science	@TPRuoko
@paulcoxon@mastodon.social	@paulcoxon
@lguterman@mastodon.online	@lilaguterman
@mkl@mas.to	@M_K_Loveless
@atgarciasosa@mastodon.social 	@atgarciasosa
@barneygrubbs@mastodon.social	@barneygrubbs
@FC_Firth@mastodon.online	@FC_Firth
@heydebigale@mastodon.online	@heydebigale
@Svetlana_Tsogoeva@mas.to	@Tsogoeva_Group
@dumelelab@mstdn.science	@dumelelab
@voelzlab@mas.to	@voelzlab
@mjahore@mstdn.science	mjahore
@schmidtpolylab@mastodon.green	@schmidtpolylab
@cesapo@mastodon.lol	@cesapo
@DrBCiani@mstdn.social	@BCiani
@glycocode@mstdn.social	@glycocode
@treeeggs@mastodon.online	@treeeggs
@ChemBruChem@qoto.org	@chembruchem
@chemepi@c.im	@chemepi
@pg10003@mastodonapp.uk	@nmr_guru
@ruggiero@mstdn.science	DrMikeRug
@spectracular@fediscience.org	@spectracular
@chemscrapes@mastodon.online	@chemscrapes
@shahzada@mstdn.social	@shahzada80
@DerkKooi@mastodon.social	@DerkKooi
@olihammond@mas.to	@Olihammond
@TomNGrossmann@mstdn.science	@TomNGrossmann
@SuperScienceGrl@toot.cat	@SuperScienceGrl
@gleet@mastodon.social	gleet_tweet
@rike@fediscience.org	@rike_mw
@betschart@qoto.org	@BetschartLeo
@chembellenie@scicomm.xyz	@chembellenie
@bissette@mastodon.org.uk	@andrewbissette
@BoronChem@mastodonapp.uk	@BoronChem
@avenaross@mastodon.nz	@AvenaRoss
@pschanen@mstdn.social	@pschanen
@AloysiusSoon@mastodon.social	@AloysiusSoon
@grynova_CCC@mastodon.social	grynova_CCC
@pkraus@berlin.social	@pk_kraus
@FlorentLouis59@mastodon.online	@FlorentLouis59
@chemfunman@techhub.social	@chemfunman
@ONVentura@mastodon.online	ONVentura@twitter.com
@marquetand@mastodon.social	@marquetand
@ewcspottesmith@mastodon.online	@EWCSpotteSmith
@andrewjsurman@mstdn.science	@andrewjsurman
@peonor@mstdn.social	@PeONor
@gassensmith@ioc.exchange	@gassensmith
@DrBodwin@mastodon.world	@DrBodwin
@arwalker_on_gpu@fediscience.org	@arwalker_on_gpu
@apcarpenter@mstdn.science	@apcarpenter1
@MarkFranklin77@mastodon.online	@MarkFranklin77 
@Hopkins_Lab@mstdn.science	@Hopkins_Lab
@physicsteo@mastodon.online	@physicsteo
@jovana_v_milic@mstdn.science	@jovana_v_milic
@ProfFJWilliams@mstdn.social	@ProfFJWilliams
@sernaol@mstdn.science	@navalon_sergio
@Zimbitas@mas.to	@zimbitas
@cpchem@mas.to	@cpchem
@martinvoegele@fediscience.org	@Blendenfleck
@markwbwilson@mastodon.social	@markwbwilson
@maryljgonzalez@mstdn.science	@maryljgonzalez
@Stefan_Weber@fediscience.org	@StefanALWeber
@steveedmondson@mastodon.xyz	@steveedmondson
@foeroyingur@fediscience.org	@foeroyingur
@ebolaphone@mstdn.social	@ebolaphone
@sebspain@mastodon.social	@sebspain
@DrAnthonyMeijer@fediscience.org	@DrAnthonyMeijer
@grumpy_molecule@ohai.social	grumpy_molecule
@christofjaeger@mstdn.social 	@christofjaeger
@stephengdavey@mstdn.social 	@stephengdavey
@rachelOB1@mastodon.social	@Rachel_E_OBrien
@aminathechemist@mstdn.social	@aminathechemist
@meaganoakley@mastodon.online	@meaganoakley
@mvdelius@fediscience.org	@mvdelius
@GMonrealSantiago@mastodon.world	@GuilleMonrealS
@Sebastian_Kozuch_Comp_Chem@fediscience.org	@KozuchSebastian
@EarthMechanic@mstdn.social	@EarthMechanic
@liampalmer@mstdn.science	@LiamPalmerNU
@Cruddenlab@mastodon.world	@cmc_lab
@marcvanderkamp@mstdn.social	@marcvanderkamp
@caferyavuz@mastodon.online	@caferyavuz
@LindorffLarsen@mstdn.social	@LindorffLarsen
@seannmulcahy@mstdn.social	@seannmulcahy
@tscmacdonald@aus.social	tscmacdonald
@SRDas@mastodon.online	@KitchenChemProf
@rocknuts@qoto.org	@rocknuts42
@jschneek@mstdn.science	@jschneek
@pkennepohl@scholar.social	@pkennepohl
@maom@mas.to	@momeara
@KRHornberger@mstdn.science	@KRHornberger
@sks@mastodon.social	@stephaniekays
@dynaml@fediscience.org	@sciencedave_wv
@stanna_dorn@fediscience.org	@stanna_dorn
@mia@scicomm.xyz 	mia_rosenfeld
@Crankyoldbiddy@mstdn.social	@Crankyoldbiddy
@H_Herrmann24@mastodon.social 	@H_Herrmann24
@rwwh@mastodon.social	@rwwh
@holeungng@sigmoid.social	@AI_drugs
@DrKerryS@mas.to	@DrKerryS
@lilopozzo@mastodon.social	@lilopozzo
@monoterpene@mathstodon.xyz	@Stare_at_Air
@siderophores@mstdn.science	@ZachReitzPhD
@annagslater@ohai.social	AnnaGSlater
@KriesLab@mstdn.science	@KriesLab
@reid_indeed@ohai.social	@reid_indeed
@bonlab@qoto.org	@bonlab
@sfeirlab@fediscience.org	@sfeirlab
@jesswade@mastodon.social	jesswade
@chemguy_eli@mstdn.science	@chemguy_eli
@vtemarticent@mstdn.science	@vtemarticent
